gene,condition,n_downstream,ontarget_significant,donor_corr_hits_mean,donor_corr_all_mean,donor_corr_hits_min,n_cells,rank_n_downstream,donor_robust
ZNF274,Stim8hr,151,True,0.8934273752434164,0.2170687672721399,0.8671556377213312,570.0,1146,True
NUDT19,Rest,150,True,0.4097103181522237,0.0545683051772439,0.372588252612196,1089.0,1150,False
MAPRE3,Stim48hr,150,True,0.7130171213251727,0.0306258987516324,0.664533769809815,165.0,1150,True
DDX42,Stim8hr,150,True,0.5537714784518152,0.0673571327800662,0.5325253149877368,66.0,1150,True
PDIA6,Stim8hr,150,True,0.8156672213311507,0.0862352447712882,0.7212106386226383,768.0,1150,True
AASDH,Rest,150,True,0.758359370451123,0.0684693544936987,0.6895440464785049,651.0,1150,True
ANKZF1,Rest,150,True,0.318602660281827,0.0725824042987502,0.2806161381224726,221.0,1150,False
OAF,Rest,149,True,0.5413043804616475,0.0936109037453744,0.4951305864031122,109.0,1154,False
WDR7,Stim48hr,149,True,0.674585451336529,0.0470984860865512,0.5578809134245087,58.0,1154,True
STARD7,Stim48hr,148,True,0.6805739222880763,0.1406191135125309,0.607451111517504,401.0,1157,True
SPOP,Rest,148,True,0.805856225929748,0.1640507854273569,0.7835519262302924,215.0,1157,True
ISG15,Rest,148,True,0.7744671915935434,0.1176648881005375,0.6559154620230935,552.0,1157,True
USP24,Stim48hr,148,True,0.8511636442662865,0.1385938552855555,0.833681909818154,519.0,1157,True
SLC4A7,Stim48hr,147,True,0.4731744813804444,0.010732314481831,0.356462470005622,1347.0,1161,False
ITM2B,Rest,147,True,0.8385019546267337,0.1673935695519932,0.7922378887510264,449.0,1161,True
SLC25A10,Rest,147,True,0.7884373616057574,0.1623429174727124,0.7567843891759941,296.0,1161,True
HIRIP3,Stim8hr,146,True,0.8086053517491161,0.1073745383142761,0.7639731326557408,640.0,1165,True
PACS2,Stim48hr,146,True,0.4971182397981346,0.0760504830520438,0.3981397962116487,326.0,1165,False
SIK2,Rest,146,True,0.0113895923832852,-0.0899843380420511,-0.0868172737215915,305.0,1165,False
TPR,Rest,146,True,0.2180609298896695,0.0495384889691083,0.1702861804660097,67.0,1165,False
PAK2,Rest,146,True,0.7361914282911312,0.1444891497583442,0.6058357990340173,567.0,1165,True
ZNF280D,Stim8hr,145,True,0.3406014737723992,-0.0376989158587889,0.1065486518101741,1042.0,1168,False
KRR1,Stim8hr,145,True,0.3395094769948542,0.1718970441051821,0.3183479871892016,66.0,1168,False
DNAAF5,Stim48hr,144,True,0.85228126785874,0.2026829156038485,0.8191631802499015,374.0,1172,True
DNAJB11,Rest,144,True,0.1572583528043705,0.0114114470722263,0.1190012262242859,1487.0,1172,False
PRKCQ,Stim48hr,144,True,0.758237834589636,0.204568625731442,0.73343015630483,180.0,1172,True
MOCS3,Stim8hr,144,True,0.8283722736150129,0.1671350262416795,0.8139679094063167,115.0,1172,True
DBF4,Rest,144,True,0.7765762346021171,0.1049915636627045,0.7630331919244785,184.0,1172,True
LPCAT3,Rest,143,True,0.7697651244406858,0.0157876375793069,0.7257847001890357,595.0,1175,True
ZMYND19,Stim8hr,143,True,0.5542978675934974,0.1213101929734334,0.4930471709858125,538.0,1175,False
ATM,Stim48hr,142,True,0.7717475361081975,0.1248232052057544,0.715974306959365,866.0,1179,True
BRD9,Rest,142,True,0.8457667863344325,0.1348527487943018,0.8218888730367679,208.0,1179,True
DMAC1,Stim48hr,142,True,0.6616013378138504,0.3756766882773308,0.6513538982302061,83.0,1179,True
JUNB,Stim48hr,142,True,0.865079640867909,0.159846159932444,0.8423934517351742,461.0,1179,True
PARD6A,Rest,142,True,0.8201867791692495,0.1848131801852698,0.7875862363272925,548.0,1179,True
SLC25A28,Stim48hr,141,True,0.8259223305364505,0.0940160712508332,0.767028922639213,274.0,1184,True
PPP1R12C,Rest,141,True,0.7481519310728021,0.1125802837238938,0.642809025199164,791.0,1184,True
SEC62,Rest,141,True,0.7935479964217299,0.1620871280874015,0.7441670568876375,364.0,1184,True
DIPK1A,Stim8hr,141,True,0.2721489813722741,-0.0199215624521574,0.2050817814377258,639.0,1184,False
KIF5C,Stim48hr,141,True,0.7276346790262291,0.0529888285040301,0.682800869644737,238.0,1184,True
TMEM123,Stim8hr,141,True,0.7721330065727816,0.152217784716033,0.6606570321357784,2275.0,1184,True
METTL23,Stim48hr,140,True,0.7650461679842916,0.1044814030984877,0.7293149902336579,709.0,1188,True
EDRF1,Rest,140,True,0.7965660085602413,0.0967500854806846,0.7728096010547374,85.0,1188,True
HNRNPM,Stim8hr,139,True,0.5682980849038232,0.0674802195045106,0.4783409522466317,82.0,1192,False
DCAF16,Rest,139,True,-0.1887741001598273,-0.0150992240968027,-0.2760405038337449,126.0,1192,False
HRAS,Stim48hr,139,True,0.7879309701906706,0.1029867543007806,0.7714482301767063,473.0,1192,True
KDM3B,Stim8hr,139,True,0.8582400663166077,0.2177292062786164,0.8285556389795113,280.0,1192,True
FAM204A,Stim8hr,139,True,0.8314829504433813,0.0743395958821496,0.8021003197298614,152.0,1192,True
TRIM14,Rest,138,True,0.750171579561529,0.1233426707910343,0.671424132539199,342.0,1196,True
LRIG1,Stim8hr,138,True,0.7563417108426679,0.1601299159781755,0.7319271661145729,403.0,1196,True
PIK3R4,Rest,138,True,0.1453866357010032,0.0157742230281077,0.068592216727856,413.0,1196,False
ZDHHC12,Rest,137,True,0.7376684218725207,0.1347928883994244,0.6470715422388102,230.0,1199,True
SH3D21,Rest,137,True,0.7178623292836476,0.1780036119351345,0.6289211604932019,351.0,1199,True
MAF,Stim48hr,137,True,0.8380765997688631,0.1261448290151536,0.7879618509164635,726.0,1199,True
DCAF11,Stim8hr,136,True,0.0484879222956839,0.0426822818326019,-0.0279774175821208,538.0,1203,False
KDM6A,Rest,136,True,0.6041780612698489,0.0883919367350564,0.5523471953934578,1341.0,1203,True
ARL1,Stim48hr,136,True,0.8061328621343513,0.072811349943726,0.7676150064072792,375.0,1203,True
LSM14A,Stim48hr,136,True,0.6173630121546657,0.0620727514474442,0.5244605336112803,334.0,1203,True
DZIP1,Stim8hr,136,True,0.694139870011261,0.2560278666177686,0.6245371857670097,864.0,1203,True
SCD,Stim48hr,135,True,0.7970480916506109,0.0918378405604429,0.7646734863228158,255.0,1206,True
CDCA2,Stim8hr,135,True,-0.2346797601245355,-0.0307506177568664,-0.2883643130851018,510.0,1206,False
HDAC7,Stim48hr,134,True,0.6092414161166119,0.2545181108868393,0.5367096338642243,90.0,1208,True
MICOS13,Stim48hr,133,True,0.7487883191967706,0.0028902233203589,0.6058836611547465,231.0,1211,True
ZWINT,Stim8hr,133,True,0.7304337274010719,0.2860146001514221,0.661018125344575,70.0,1211,True
HTT,Stim48hr,133,True,0.8421043260692332,0.1254411028796265,0.780867432989388,1211.0,1211,True
PRPF38B,Stim8hr,133,True,0.7580225603034384,0.2892924493906554,0.6632334462742694,71.0,1211,True
ITGB2,Rest,133,True,0.8468258356027656,0.2070360247881745,0.7953623675381233,431.0,1211,True
GSTCD,Stim8hr,132,True,0.818511381201103,0.0773749661956674,0.7429604052923744,669.0,1215,True
TBL1X,Stim8hr,132,True,0.3053374430789481,0.0639636403927329,-0.0570048955180873,265.0,1215,False
DNAJC21,Stim8hr,132,True,0.7757214932965973,0.0821827727017823,0.7313527204201662,195.0,1215,True
UROS,Stim8hr,132,True,0.633725093814939,0.064419728150005,0.5040673135226491,247.0,1215,True
SMIM7,Stim48hr,131,True,0.6526335054252679,0.1102568290321633,0.5930822326432815,298.0,1220,True
METTL3,Stim8hr,131,True,0.6038123089950194,0.1496332293879449,0.5539581434865208,123.0,1220,True
CBX3,Stim48hr,131,True,0.5038138442311343,0.0091172309016141,0.3964127067765004,904.0,1220,False
NEB,Rest,131,True,0.8422696839007006,0.1318662581233316,0.8123276269504388,458.0,1220,True
TEDC2,Rest,131,True,0.8482560520543169,0.1392050761096326,0.8090363677418961,126.0,1220,True
COX6B1,Stim8hr,130,True,0.819522231195744,0.102387459410309,0.7049776117917428,336.0,1224,True
GALK2,Stim8hr,130,True,0.2633048124284771,0.0408192710579337,0.0168942408776314,1164.0,1224,False
MGA,Stim8hr,130,True,0.6789478204602033,0.1652540843430263,0.6479332602711918,1308.0,1224,True
ZDHHC3,Stim8hr,129,True,0.6980441475369497,0.1094433612658542,0.6551817182813618,225.0,1227,True
NMT2,Stim8hr,129,True,0.8338153015522917,0.1328035302642008,0.8003833034022326,1555.0,1227,True
TMEM234,Stim8hr,129,True,0.846653743883725,0.1178725528672291,0.8164186364671403,113.0,1227,True
WDR24,Stim8hr,128,True,0.499733086381963,0.0579444333930464,0.2960708736425866,138.0,1231,False
NDUFA10,Rest,128,True,0.8401635404322064,0.1311963853139181,0.780223464185522,866.0,1231,True
ABI3,Stim8hr,128,True,0.8694719886344452,0.132537077615165,0.8484219881150022,122.0,1231,True
CAB39,Stim8hr,128,True,0.0053256575784572,0.040460879087829,-0.117588596831819,669.0,1231,False
HIF1A,Stim48hr,128,True,0.6579207576581715,0.025079576165221,0.5804008671944565,379.0,1231,True
DESI1,Rest,127,True,0.5848517934320884,0.1035519813125912,0.5220513434462281,139.0,1237,True
FN3K,Stim48hr,127,True,0.6265374190579688,0.0762667717733277,0.3871470979173744,828.0,1237,False
RABGEF1,Stim48hr,127,True,0.8586419823047932,0.0113946862660364,0.8427630201990367,240.0,1237,True
ZCCHC8,Stim48hr,127,True,0.7309206432416667,0.1109266695350931,0.7097177589934585,191.0,1237,True
DNAJC3,Stim48hr,127,True,0.8495417297196086,0.062520189305337,0.770927158170035,502.0,1237,True
ZNF18,Rest,127,True,0.8300424820654783,0.0984028847290611,0.8091000334319072,427.0,1237,True
DGKZ,Stim8hr,127,True,0.6699269634684452,0.0472453832530406,0.524616747268683,262.0,1237,True
RAB21,Stim48hr,127,True,0.8515183099927683,0.0633474189382422,0.7813869265311166,1059.0,1237,True
ZHX3,Rest,126,True,0.7592698859261177,0.157399017979611,0.637423413953098,372.0,1242,True
CDCA3,Rest,126,True,0.508539666984212,0.1158267564827486,0.3887611268614424,361.0,1242,False
INPP5F,Stim8hr,125,True,0.6562886467565626,-0.0204637587222544,0.6411506841159754,853.0,1246,True
TRAPPC13,Stim8hr,125,True,0.6898093685405612,0.1481303197176033,0.5005076065609942,568.0,1246,True
YPEL2,Stim8hr,125,True,0.8599352257868397,0.1429957917107668,0.8011491046960051,729.0,1246,True
ZCRB1,Stim8hr,125,True,0.7545152169037808,0.3619455063225533,0.7178408984021359,99.0,1246,True
DCAF4,Stim48hr,125,True,0.9451795150028452,0.0920144601374629,0.9271850053117772,931.0,1246,True
TET2,Rest,124,True,0.8295789800651839,0.1923445275636818,0.72958045309624,1018.0,1253,True
PPAT,Stim8hr,124,True,0.8248496172686539,0.0746378875774475,0.8019306370086073,107.0,1253,True
ZNF330,Stim48hr,124,True,0.8161452405077413,0.0499607859815831,0.7113433853365752,1273.0,1253,True
