gene,condition,row,source,regulator_class,regpower_eb_mean,n_downstream,cluster,program_label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
COX6C,Stim8hr,6166,context-specific,condition-specific,1.3055,1493,10,mixed,-15.0173,-7.3905,15.1457,0.6023,-4.6165,-6.8904,10.0927,0.0951,-0.3083,-1.3242
COG6,Stim8hr,5936,context-specific,condition-specific,1.2776,1161,2,mixed,13.4267,-2.5751,-2.2738,1.2839,6.4959,9.1943,-4.3487,-3.8744,1.0164,0.9218
CFAP298,Stim8hr,5250,context-specific,condition-specific,1.265,1424,10,mixed,-24.6647,-1.4337,6.3885,7.312,-1.8905,-1.3147,6.1214,-7.4229,-1.2902,1.0054
LAMTOR2,Stim48hr,14930,context-specific,condition-specific,1.2544,2062,2,mixed,17.4107,-13.7224,5.5131,-8.7499,-13.6251,8.9414,-7.1745,-11.2397,-6.7344,8.5914
RPTOR,Stim8hr,24106,context-specific,condition-specific,1.2508,1028,1,mixed,0.1977,-2.3601,6.1999,1.1936,-0.8095,10.1554,2.0099,-6.5949,-0.0632,8.8365
UVRAG,Rest,31055,context-specific,condition-specific,1.2405,1195,3,mixed,2.9912,-8.5211,5.837,-7.5701,3.8819,1.4011,-6.1354,0.5329,1.1677,-5.9883
EIF1AX,Stim8hr,8411,context-specific,condition-specific,1.2392,2576,2,TCR signaling,24.056,7.1363,-3.0678,7.1164,-8.3289,12.3766,3.6087,1.0793,0.4726,0.8409
GLIPR2,Stim8hr,11068,context-specific,condition-specific,1.2366,1360,2,Mediator/transcription,7.5566,14.0804,11.3122,5.4823,-1.8555,-3.5822,-0.2988,-1.5139,7.7732,6.5991
TM2D1,Stim48hr,28659,context-specific,condition-specific,1.2207,1184,9,mixed,-27.9777,8.4952,-10.4721,2.3221,0.4001,-7.4533,-1.808,6.2632,-0.2812,-5.1631
ERCC4,Stim48hr,8863,context-specific,condition-specific,1.206,1144,3,mixed,6.8669,-10.8248,1.423,-5.6421,-13.1121,2.7477,6.4974,1.4347,-2.6203,2.3526
INSR,Rest,13666,context-specific,condition-specific,1.202,1365,9,mixed,-31.1606,13.4533,-14.4496,9.5516,-4.0185,0.4623,5.366,3.5075,1.8367,2.8883
USO1,Stim8hr,30920,context-specific,condition-specific,1.1967,1381,2,mixed,8.0305,-2.8402,-6.3939,-0.4055,20.9396,2.9698,-4.3196,-12.1244,-5.6766,5.9238
MIPEP,Stim48hr,16771,context-specific,condition-specific,1.1965,2143,3,mixed,10.7378,-17.9488,4.9521,-19.3481,6.7957,9.7068,14.0785,6.5187,-1.6429,4.5558
PGGT1B,Stim8hr,20516,context-specific,condition-specific,1.1919,3013,2,TCR signaling,52.9836,-9.9795,-14.2351,6.5577,0.21,-4.7612,2.6128,3.9729,1.4523,-7.0211
TSPYL5,Stim8hr,30141,context-specific,condition-specific,1.1875,2232,2,SAGA/chromatin,22.9132,24.0384,13.1587,-5.8174,3.399,1.3742,1.1675,0.3229,-5.6603,-0.1818
STX16,Stim8hr,27399,context-specific,condition-specific,1.1875,1144,2,mixed,14.0607,16.7031,3.9437,0.2589,-0.87,-2.1004,-2.6559,-1.273,3.0192,4.9945
FH,Rest,10039,context-specific,condition-specific,1.1843,945,3,mixed,2.2002,-11.7557,7.9586,0.3979,-1.4347,1.7313,-1.0074,9.5247,0.8503,-1.5094
TESPA1,Stim8hr,28242,context-specific,condition-specific,1.1829,1974,2,mixed,16.3547,3.8345,4.8401,9.8166,-4.2297,4.415,5.5434,-2.6475,3.9592,-2.3612
ZMYM2,Rest,32373,context-specific,condition-specific,1.1653,2177,9,mixed,-33.1311,17.4438,-7.6154,16.2999,-5.9464,4.8712,3.5311,4.3644,0.0972,2.2021
MRC2,Stim48hr,17093,context-specific,condition-specific,1.1504,1350,3,mixed,14.0517,-15.2358,11.209,-2.7269,-0.4516,-0.2657,1.9595,3.0661,-3.7219,-0.7288
SLC35B1,Stim8hr,25819,context-specific,condition-specific,1.143,1541,2,mixed,2.5121,-3.7961,7.7483,15.5359,40.4104,3.4783,-1.8232,-12.8213,-5.7427,0.069
MPI,Stim8hr,17028,context-specific,condition-specific,1.0928,2294,2,mixed,12.2669,-6.9841,4.4884,11.9524,49.9459,7.7371,0.263,-20.6742,0.3648,6.4445
RRAGA,Stim48hr,24123,context-specific,condition-specific,1.0884,1731,2,mixed,14.1498,-9.7431,-0.6862,-5.0391,-17.241,5.7537,-8.7705,-12.4197,-10.2687,10.8885
PTPA,Stim48hr,22386,context-specific,condition-specific,1.0483,1104,10,mixed,-8.4126,-10.9403,5.1715,2.051,-2.7189,1.6135,6.5855,6.3188,-3.8113,3.8382
DLG4,Rest,7485,context-specific,condition-specific,1.0465,1285,9,mixed,-27.5815,15.3862,-12.4123,12.0166,-3.4878,-3.3032,5.6329,3.6049,-0.0655,4.1378
PMVK,Stim48hr,21276,context-specific,condition-specific,1.0434,3527,3,mixed,28.2947,-20.955,5.3827,-18.6993,12.2586,8.3555,16.0462,16.0149,7.7855,9.4051
RBM10,Stim48hr,23139,context-specific,condition-specific,1.0379,1504,3,mixed,5.9353,-11.2268,-1.3016,-8.4683,-0.7127,7.577,8.1517,-0.4164,-2.3092,5.7261
LAT,Stim8hr,14982,context-specific,condition-specific,1.0337,5535,2,TCR signaling,103.57,-9.0343,-35.3023,6.8007,4.5573,-6.5471,1.7659,2.381,2.8614,-0.8328
FZD6,Stim8hr,10552,context-specific,condition-specific,1.0177,1394,2,TCR signaling,32.3544,-4.9271,-19.977,4.7394,-1.9354,-3.0189,-0.0205,3.5038,-1.5766,-1.0599
PARP14,Stim8hr,19896,context-specific,condition-specific,1.0145,1328,2,mixed,8.3044,10.4797,-13.7948,8.7448,-2.6395,7.1074,-1.474,0.2867,0.3042,4.276
PPIH,Stim8hr,21571,context-specific,condition-specific,1.0071,876,10,mixed,-23.6997,-5.3011,8.3378,-1.7545,2.9896,-5.8501,1.2948,-0.2977,5.8187,2.8017
MED23,Stim8hr,16403,context-specific,condition-specific,1.0069,1011,6,mixed,2.9081,-6.3734,-4.0458,-0.0546,-0.4374,-2.6488,-13.9532,5.7973,5.5483,0.5131
DDX1,Stim8hr,7123,context-specific,condition-specific,0.9969,819,10,mixed,-7.5097,-11.5295,8.0007,5.1901,22.1064,-0.2372,1.75,3.0417,-1.3871,-0.7614
RHOA,Stim48hr,23567,context-specific,condition-specific,0.9912,1183,3,mixed,6.2724,-14.1603,10.1044,-4.2723,-7.3566,2.7265,1.9599,-2.7898,1.0592,-3.4582
NELFCD,Stim8hr,18449,context-specific,condition-specific,0.9802,1024,10,mixed,-6.9189,-10.2479,7.8397,7.2381,-5.3622,-11.7414,2.1807,3.0639,0.4334,1.0529
MED1,Stim8hr,16374,context-specific,condition-specific,0.9795,818,2,Mediator/transcription,1.9824,8.8122,10.285,-1.2248,0.6493,-9.8973,-7.035,2.7393,4.0246,3.6528
ACTR2,Stim48hr,381,context-specific,condition-specific,0.9753,1048,3,mixed,6.5073,-14.0993,7.1269,-8.2267,-1.2288,4.1222,3.2691,8.981,-4.2317,5.0146
OXA1L,Stim48hr,19660,context-specific,condition-specific,0.9749,1541,3,mixed,10.1878,-16.2718,5.5792,-10.0001,6.3287,11.3704,11.966,2.8458,-0.8576,4.7286
ATP5PO,Stim48hr,2359,context-specific,condition-specific,0.9706,1156,3,mixed,4.6986,-15.405,0.7346,-11.519,2.4941,8.5687,7.1935,4.9051,-2.2855,4.7375
IL2RB,Stim48hr,13490,context-specific,condition-specific,0.9688,1069,9,mixed,-10.5148,4.2593,-13.0412,-17.5068,2.2017,6.0617,1.6953,-3.8336,7.5008,4.0846
KLF2,Rest,14588,context-specific,condition-specific,0.951,986,1,mixed,-2.5531,-0.6533,0.2507,0.382,-1.9461,11.764,-10.8081,-3.345,6.5156,2.5456
TWNK,Stim48hr,30374,context-specific,condition-specific,0.9456,801,3,mixed,3.985,-12.7276,-0.5609,-12.8108,2.667,5.3206,9.6204,9.1695,-1.0944,4.6928
ACLY,Stim48hr,282,context-specific,condition-specific,0.9435,2431,3,mixed,-1.1914,-0.1593,-5.2925,-17.3821,17.1289,-0.5584,20.0906,13.8136,-0.2939,4.7778
