target_contrast,target_contrast_gene_name,culture_condition,single_guide_estimate,n_guides,guide_correlation_all,guide_correlation_signif,guide_n_signif_ontarget,donor_correlation_all_mean,donor_correlation_hits_mean,donor_correlation_hits_min
ENSG00000090905,TNRC6A,Stim8hr,False,2.0,0.1005929435631269,0.454281986634317,2.0,0.1430508170051271,0.7805688380625248,0.7085620770142387
ENSG00000100354,TNRC6B,Rest,False,2.0,,,,,,
ENSG00000100354,TNRC6B,Stim48hr,False,2.0,0.0213239203647002,0.3529597066768724,0.0,,,
ENSG00000100354,TNRC6B,Stim8hr,False,2.0,0.010383742407366,-0.8330563736274028,2.0,,,
ENSG00000079308,TNS1,Rest,True,1.0,0.0758722896381413,0.2224277033753551,1.0,0.1766017268505315,0.6358803857866285,0.544612463521388
ENSG00000079308,TNS1,Stim48hr,True,1.0,0.057910480632313,0.3291354484866174,1.0,,,
ENSG00000079308,TNS1,Stim8hr,True,1.0,0.156306385468615,1.0,0.0,,,
ENSG00000136205,TNS3,Rest,False,2.0,,,,,,
ENSG00000136205,TNS3,Stim48hr,False,2.0,,,,,,
ENSG00000136205,TNS3,Stim8hr,False,2.0,,,,,,
ENSG00000131746,TNS4,Rest,False,2.0,0.1544087971580161,,0.0,,,
ENSG00000131746,TNS4,Stim48hr,False,2.0,0.0864356245746604,,0.0,,,
ENSG00000131746,TNS4,Stim8hr,False,2.0,0.1788449975632839,,0.0,,,
ENSG00000141232,TOB1,Rest,True,1.0,,,,,,
ENSG00000141232,TOB1,Stim48hr,False,2.0,,,,,,
ENSG00000141232,TOB1,Stim8hr,True,1.0,,,,,,
ENSG00000183864,TOB2,Rest,False,2.0,0.152995720107792,0.4383702161688856,2.0,,,
ENSG00000183864,TOB2,Stim48hr,False,2.0,0.1333787479207352,,2.0,,,
ENSG00000183864,TOB2,Stim8hr,False,2.0,0.0587388982676842,0.9972522469209318,2.0,,,
ENSG00000132773,TOE1,Rest,False,2.0,0.155640948070736,1.0,2.0,,,
ENSG00000132773,TOE1,Stim48hr,False,2.0,0.113379809776375,0.9311275273588828,2.0,0.0290563336611803,0.8988414154922265,0.8722135282627647
ENSG00000132773,TOE1,Stim8hr,False,2.0,0.1015205207362261,-0.7928965527247167,2.0,,,
ENSG00000198718,TOGARAM1,Rest,False,2.0,,,,,,
ENSG00000198718,TOGARAM1,Stim48hr,False,2.0,0.083857912510872,,2.0,,,
ENSG00000198718,TOGARAM1,Stim8hr,False,2.0,0.0281378691228559,,2.0,,,
ENSG00000078902,TOLLIP,Rest,False,2.0,0.0498796492829254,,2.0,,,
ENSG00000078902,TOLLIP,Stim48hr,False,2.0,0.0519579504276159,,2.0,,,
ENSG00000078902,TOLLIP,Stim8hr,False,2.0,,,,,,
ENSG00000100284,TOM1,Rest,False,2.0,0.0618501790824968,,2.0,,,
ENSG00000100284,TOM1,Stim48hr,False,2.0,0.0747663773462621,,2.0,,,
ENSG00000100284,TOM1,Stim8hr,False,2.0,0.0487111199194819,,2.0,,,
ENSG00000175662,TOM1L2,Rest,True,1.0,,,,,,
ENSG00000175662,TOM1L2,Stim48hr,True,1.0,,,,,,
ENSG00000175662,TOM1L2,Stim8hr,True,1.0,,,,,,
ENSG00000173726,TOMM20,Rest,False,2.0,,,,,,
ENSG00000173726,TOMM20,Stim8hr,False,2.0,,,,,,
ENSG00000025772,TOMM34,Rest,False,2.0,0.1579207637364423,,2.0,,,
ENSG00000025772,TOMM34,Stim48hr,False,2.0,0.0496196417603063,,2.0,,,
ENSG00000025772,TOMM34,Stim8hr,False,2.0,0.1707996840153044,,2.0,,,
ENSG00000130204,TOMM40,Rest,False,2.0,,,,,,
ENSG00000130204,TOMM40,Stim8hr,False,2.0,,,,,,
ENSG00000158882,TOMM40L,Rest,False,2.0,0.0712046053903595,1.0,2.0,,,
ENSG00000158882,TOMM40L,Stim48hr,False,2.0,0.045846925820606,,2.0,,,
ENSG00000158882,TOMM40L,Stim8hr,False,2.0,0.0782528502857711,1.0,2.0,,,
ENSG00000175768,TOMM5,Rest,False,2.0,0.0720320912261577,,1.0,,,
ENSG00000175768,TOMM5,Stim48hr,False,2.0,0.0566365962360694,0.8514350298648428,1.0,,,
ENSG00000175768,TOMM5,Stim8hr,False,2.0,0.1048045490502423,0.6906985194552715,1.0,,,
ENSG00000214736,TOMM6,Rest,False,2.0,0.1259665163865637,,2.0,,,
ENSG00000214736,TOMM6,Stim48hr,False,2.0,0.0681910974950694,1.0,2.0,,,
ENSG00000214736,TOMM6,Stim8hr,False,2.0,0.0920129984055253,1.0,2.0,,,
ENSG00000196683,TOMM7,Rest,False,2.0,0.009906162346091,0.8022873958012501,2.0,,,
ENSG00000196683,TOMM7,Stim48hr,False,2.0,,,,,,
ENSG00000196683,TOMM7,Stim8hr,False,2.0,-0.038284590886707,1.0,2.0,,,
ENSG00000154174,TOMM70,Rest,False,2.0,0.0756376305064,0.5564229925810895,2.0,,,
ENSG00000154174,TOMM70,Stim48hr,False,2.0,0.2049187633041365,0.3354754526695818,2.0,0.1685150180494025,0.7495929925901836,0.715376349099595
ENSG00000154174,TOMM70,Stim8hr,False,2.0,0.1496300666118387,0.3239895824625147,2.0,,,
ENSG00000184428,TOP1MT,Rest,False,2.0,0.1755729940818423,,2.0,,,
ENSG00000184428,TOP1MT,Stim48hr,False,2.0,0.12781821732461,1.0,2.0,,,
ENSG00000184428,TOP1MT,Stim8hr,False,2.0,0.1393437328647139,,2.0,,,
ENSG00000077097,TOP2B,Rest,False,2.0,0.196021213013999,,2.0,0.1316073584999731,0.893552520072704,0.8847980585628041
ENSG00000077097,TOP2B,Stim48hr,False,2.0,0.08944242601031,0.1228864291074683,2.0,,,
ENSG00000077097,TOP2B,Stim8hr,False,2.0,0.1091773544735809,0.9520334189326184,2.0,,,
ENSG00000100038,TOP3B,Rest,False,2.0,,,,,,
ENSG00000100038,TOP3B,Stim48hr,False,2.0,,,,,,
ENSG00000100038,TOP3B,Stim8hr,False,2.0,0.0349121493386341,-1.0,2.0,,,
ENSG00000163781,TOPBP1,Rest,True,1.0,,,,,,
ENSG00000163781,TOPBP1,Stim48hr,False,2.0,,,,,,
ENSG00000163781,TOPBP1,Stim8hr,False,2.0,,,,0.0384452134205275,0.649936334437627,0.5793775844356737
ENSG00000197579,TOPORS,Rest,True,1.0,,,,-0.0502093170940755,0.6794759314586271,0.57961889701923
ENSG00000197579,TOPORS,Stim8hr,True,1.0,-0.0979198603123684,0.5230055657071476,1.0,,,
ENSG00000136827,TOR1A,Rest,False,2.0,0.08449504612632,0.1271849113487117,2.0,0.0374371508057797,0.2087150779612856,0.099517096722033
ENSG00000136827,TOR1A,Stim48hr,False,2.0,0.0564399288746254,0.5611520308027672,2.0,0.0314308732849788,-0.0071526784900434,-0.2094964442454525
ENSG00000136827,TOR1A,Stim8hr,False,2.0,0.0734437002128794,0.4767284912257275,2.0,,,
ENSG00000143337,TOR1AIP1,Rest,False,2.0,0.0096614844975676,0.9596932714392812,2.0,,,
ENSG00000143337,TOR1AIP1,Stim48hr,False,2.0,0.0853546130410243,1.0,2.0,,,
ENSG00000143337,TOR1AIP1,Stim8hr,False,2.0,0.0258375453898864,0.9771059065580696,2.0,,,
ENSG00000169905,TOR1AIP2,Rest,False,2.0,0.0824144058902974,0.2436059661805246,2.0,,,
ENSG00000169905,TOR1AIP2,Stim48hr,False,2.0,0.0566066208259411,,2.0,,,
ENSG00000169905,TOR1AIP2,Stim8hr,False,2.0,0.0649098377465779,,2.0,,,
ENSG00000136816,TOR1B,Rest,False,2.0,-0.0156377946475405,0.4634335685851115,2.0,,,
ENSG00000136816,TOR1B,Stim48hr,False,2.0,-0.0719136145248251,1.0,2.0,,,
ENSG00000136816,TOR1B,Stim8hr,False,2.0,-0.0003251830905652,0.9656272319605058,2.0,,,
ENSG00000160404,TOR2A,Rest,False,2.0,,,,,,
ENSG00000160404,TOR2A,Stim48hr,False,2.0,0.0459584531807064,,2.0,,,
ENSG00000160404,TOR2A,Stim8hr,False,2.0,0.0652886214190906,,2.0,,,
ENSG00000186283,TOR3A,Rest,False,2.0,0.1505565499279964,,2.0,,,
ENSG00000186283,TOR3A,Stim48hr,False,2.0,0.1129419922969428,,2.0,,,
ENSG00000186283,TOR3A,Stim8hr,False,2.0,0.1392701153062133,,2.0,,,
ENSG00000198113,TOR4A,Rest,False,2.0,,,,,,
ENSG00000198113,TOR4A,Stim48hr,False,2.0,,,,,,
ENSG00000198113,TOR4A,Stim8hr,False,2.0,,,,,,
ENSG00000198846,TOX,Rest,False,2.0,0.0632801701236912,,2.0,,,
ENSG00000198846,TOX,Stim48hr,False,2.0,0.0631687854878584,,2.0,,,
ENSG00000198846,TOX,Stim8hr,False,2.0,0.0619713975240415,,2.0,,,
ENSG00000124191,TOX2,Rest,False,2.0,0.0985402458704585,,2.0,,,
ENSG00000124191,TOX2,Stim48hr,False,2.0,0.0920752025102919,0.851431887110881,2.0,,,
ENSG00000124191,TOX2,Stim8hr,False,2.0,0.1321301827103267,0.6375276393307987,1.0,,,
ENSG00000141510,TP53,Rest,False,2.0,0.2077343282214615,0.9443841077709796,2.0,0.1805412345798146,0.8811319192374997,0.8677401868710991
ENSG00000141510,TP53,Stim48hr,False,2.0,0.1800111330023717,0.917249709323576,2.0,0.2491713503498606,0.9228662467854336,0.9102992467389652
