gene,regulator_class,condition_specificity,n_signif_conditions,peak_condition
FOXK2,condition-specific,1.0,3,Stim48hr
FOXM1,global,0.57,3,Stim48hr
FOXN2,global,0.397,3,Stim8hr
FOXO1,global,0.482,3,Rest
FOXO3,condition-specific,0.815,2,Stim8hr
FOXO4,global,0.394,3,Rest
FOXP3,global,0.375,3,Stim8hr
FOXP4,global,0.375,3,Stim8hr
FOXRED1,condition-specific,0.778,3,Stim48hr
FOXRED2,condition-specific,1.0,3,Stim48hr
FPGS,condition-specific,0.73,3,Stim48hr
FPGT,condition-specific,0.889,3,Stim8hr
FRA10AC1,global,0.462,3,Stim48hr
FRAT2,global,0.5,3,Stim8hr
FRG1,global,0.571,3,Stim8hr
FRMD6,condition-specific,,3,Rest
FRS2,global,0.333,3,Stim8hr
FRS3,condition-specific,0.947,3,Stim48hr
FRYL,condition-specific,1.0,3,Rest
FSCN1,condition-specific,1.0,1,Stim48hr
FSD1,condition-specific,,1,Stim48hr
FSD1L,condition-specific,,1,Rest
FTH1,condition-specific,,3,Rest
FTL,global,0.5,3,Stim8hr
FTO,condition-specific,0.737,3,Stim8hr
FTSJ1,global,0.5,3,Stim8hr
FUBP1,global,0.418,3,Stim48hr
FUBP3,condition-specific,0.75,3,Stim8hr
FUCA1,condition-specific,0.667,3,Rest
FUCA2,condition-specific,1.0,3,Stim8hr
FUNDC1,condition-specific,0.765,3,Stim48hr
FUNDC2,global,0.522,3,Stim8hr
FUOM,condition-specific,0.917,3,Rest
FUS,condition-specific,1.0,1,Stim8hr
FUT11,condition-specific,,3,Stim8hr
FUT4,condition-specific,1.0,1,Stim8hr
FUT7,global,0.571,2,Stim48hr
FUT8,condition-specific,0.846,3,Rest
FUZ,global,0.333,3,Stim8hr
FXR1,global,0.5,3,Rest
FXR2,condition-specific,1.0,1,Stim8hr
FXYD5,condition-specific,1.0,3,Rest
FYCO1,condition-specific,1.0,2,Stim8hr
FYN,global,0.545,2,Stim8hr
FYTTD1,condition-specific,1.0,3,Stim48hr
FZD3,condition-specific,0.667,3,Stim8hr
FZD6,condition-specific,1.0,1,Stim8hr
FZR1,condition-specific,0.892,2,Rest
G0S2,condition-specific,0.75,3,Stim48hr
G2E3,condition-specific,0.7,3,Stim48hr
G3BP2,global,0.417,3,Stim8hr
G6PC3,global,0.5,3,Rest
G6PD,condition-specific,0.75,3,Stim48hr
GAA,condition-specific,,1,Stim48hr
GAB2,condition-specific,0.696,3,Stim48hr
GAB3,condition-specific,1.0,3,Stim48hr
GABARAP,condition-specific,1.0,2,Rest
GABARAPL1,condition-specific,1.0,1,Rest
GABBR1,condition-specific,1.0,1,Rest
GABPA,condition-specific,0.722,3,Stim8hr
GABPB1,global,0.465,3,Stim8hr
GABPB2,condition-specific,0.667,2,Rest
GAD1,condition-specific,1.0,2,Stim8hr
GADD45A,condition-specific,0.625,3,Stim8hr
GADD45B,condition-specific,1.0,3,Rest
GADD45G,condition-specific,1.0,1,Stim8hr
GADD45GIP1,condition-specific,0.873,3,Stim48hr
GALC,global,0.333,3,Rest
GALE,condition-specific,0.875,3,Rest
GALK1,condition-specific,0.625,3,Rest
GALK2,condition-specific,0.963,3,Stim8hr
GALM,condition-specific,1.0,3,Rest
GALNS,condition-specific,1.0,1,Stim48hr
GALNT10,condition-specific,0.667,3,Stim8hr
GALNT11,condition-specific,0.6,3,Rest
GALNT2,condition-specific,0.667,3,Stim48hr
GALNT3,condition-specific,,1,Stim48hr
GALNT4,condition-specific,0.625,3,Rest
GALNT6,condition-specific,0.775,3,Stim48hr
GALNT7,global,0.5,3,Stim8hr
GALT,global,0.5,3,Stim8hr
GAMT,condition-specific,,3,Rest
GAN,condition-specific,,1,Stim48hr
GANAB,global,0.513,3,Stim8hr
GANC,global,0.556,3,Stim8hr
GAPVD1,global,0.375,3,Stim48hr
GARIN1A,condition-specific,1.0,1,Rest
GARRE1,global,0.571,2,Rest
GARS1,global,0.491,3,Stim48hr
GART,condition-specific,0.951,3,Stim48hr
GAS2L1,condition-specific,0.96,2,Stim48hr
GAS8,condition-specific,,1,Stim8hr
GATA3,global,0.371,3,Stim48hr
GATAD1,global,0.377,3,Stim8hr
GATAD2A,condition-specific,,3,Rest
GATAD2B,global,0.478,3,Stim8hr
GATB,condition-specific,0.942,3,Stim48hr
GATC,global,0.5,3,Rest
GATD1,condition-specific,1.0,3,Rest
GBA1,condition-specific,1.0,3,Rest
GBA2,global,0.521,3,Stim48hr
GBE1,condition-specific,1.0,3,Stim8hr
GBP1,condition-specific,0.6,3,Stim48hr
GBP2,condition-specific,0.667,3,Rest
GBP3,condition-specific,1.0,3,Stim48hr
GBP4,condition-specific,,3,Rest
GBP5,global,0.5,3,Stim8hr
GCA,condition-specific,0.75,3,Rest
GCAT,condition-specific,1.0,1,Stim48hr
GCC1,condition-specific,0.643,3,Stim48hr
GCC2,condition-specific,1.0,3,Rest
GCDH,global,0.5,2,Stim8hr
GCFC2,condition-specific,1.0,3,Stim48hr
GCH1,condition-specific,,2,Rest
GCHFR,condition-specific,,3,Rest
GCLC,condition-specific,0.862,2,Stim8hr
GCLM,condition-specific,0.714,3,Stim8hr
GCN1,condition-specific,0.689,3,Stim48hr
GCNT1,condition-specific,0.857,3,Stim48hr
GCSAM,condition-specific,1.0,1,Stim48hr
GDAP1,condition-specific,0.683,3,Stim48hr
GDAP2,global,0.467,3,Stim48hr
GDE1,condition-specific,0.842,3,Stim8hr
GDI1,global,0.419,3,Stim48hr
GDI2,condition-specific,1.0,3,Rest
GDPD5,global,0.533,2,Stim48hr
GDPGP1,global,0.333,3,Stim8hr
GEMIN6,condition-specific,1.0,1,Stim8hr
GEMIN7,condition-specific,0.951,2,Stim8hr
GEN1,condition-specific,0.98,3,Rest
GET1,condition-specific,1.0,1,Stim8hr
GET3,condition-specific,0.709,3,Stim8hr
GFI1,condition-specific,,1,Stim48hr
GFM1,global,0.389,3,Rest
GFM2,condition-specific,0.9,2,Stim48hr
GFOD1,condition-specific,,2,Stim48hr
GFOD2,condition-specific,0.667,3,Stim8hr
GFUS,condition-specific,0.75,3,Rest
GGA1,condition-specific,0.6,3,Rest
GGA2,condition-specific,0.667,3,Stim48hr
GGA3,condition-specific,0.865,3,Rest
GGACT,condition-specific,1.0,1,Rest
GGCT,condition-specific,1.0,3,Stim48hr
GGCX,condition-specific,0.75,3,Rest
GGH,condition-specific,1.0,3,Stim48hr
GGNBP2,condition-specific,0.722,3,Stim8hr
GHDC,condition-specific,0.6,3,Stim48hr
GHITM,global,0.538,3,Stim8hr
GID4,condition-specific,1.0,3,Stim8hr
GID8,condition-specific,0.73,3,Stim8hr
GIGYF2,global,0.447,3,Stim48hr
GIMAP2,condition-specific,1.0,3,Stim8hr
GIMAP4,condition-specific,0.667,3,Stim48hr
GIMAP5,global,0.5,3,Stim48hr
GIMAP6,condition-specific,,3,Rest
GIMAP8,global,0.429,3,Stim8hr
GIN1,global,0.412,3,Stim8hr
GINM1,condition-specific,0.951,3,Stim8hr
GINS2,condition-specific,1.0,1,Stim48hr
GIPC1,condition-specific,0.667,3,Rest
GIT1,condition-specific,0.6,3,Stim8hr
GIT2,global,0.467,3,Stim48hr
GJC1,global,0.517,3,Rest
GK5,condition-specific,1.0,2,Stim48hr
GLA,global,0.429,3,Stim48hr
GLB1,condition-specific,0.667,3,Stim8hr
GLB1L2,condition-specific,1.0,1,Stim8hr
GLB1L3,condition-specific,0.6,3,Stim8hr
GLCCI1,global,0.5,3,Stim48hr
GLCE,condition-specific,1.0,3,Rest
GLG1,condition-specific,1.0,3,Stim48hr
GLI1,condition-specific,1.0,1,Stim8hr
GLI4,global,0.364,3,Rest
GLIPR1,global,0.333,3,Stim8hr
GLIPR2,condition-specific,0.601,3,Stim8hr
GLMN,condition-specific,1.0,1,Stim48hr
GLMP,condition-specific,1.0,3,Rest
GLO1,condition-specific,1.0,3,Stim8hr
GLOD4,condition-specific,1.0,1,Stim8hr
GLRX,condition-specific,0.667,3,Stim8hr
GLRX2,global,0.5,3,Stim8hr
GLRX3,condition-specific,0.721,3,Stim8hr
GLRX5,condition-specific,0.75,3,Stim8hr
GLS,condition-specific,0.754,3,Stim8hr
GLS2,condition-specific,1.0,1,Rest
GLT8D1,global,0.429,3,Stim48hr
GLTP,global,0.526,3,Stim8hr
GLUD1,global,0.333,3,Stim8hr
GLUL,condition-specific,1.0,2,Stim8hr
GLYCTK,condition-specific,0.75,3,Stim8hr
GLYR1,global,0.52,3,Stim48hr
GM2A,condition-specific,0.667,2,Rest
GMCL1,condition-specific,0.667,3,Stim8hr
GMDS,condition-specific,1.0,3,Rest
GMEB1,global,0.448,3,Stim8hr
GMFB,global,0.333,3,Stim8hr
GMFG,condition-specific,0.6,3,Rest
GMNN,condition-specific,1.0,3,Stim8hr
GMPPA,condition-specific,,3,Stim8hr
GMPR,condition-specific,,1,Stim48hr
GMPR2,global,0.56,3,Rest
GNA12,condition-specific,1.0,1,Stim8hr
GNA13,condition-specific,0.924,3,Rest
GNA15,global,0.5,3,Rest
GNAI1,global,0.5,2,Stim8hr
GNAI2,condition-specific,,3,Rest
GNAI3,global,0.471,3,Stim48hr
GNAQ,condition-specific,1.0,2,Stim48hr
GNAZ,condition-specific,0.617,2,Stim48hr
GNB1,global,0.585,3,Stim8hr
GNB1L,condition-specific,0.948,2,Rest
GNB2,condition-specific,,3,Rest
GNB4,global,0.333,3,Stim8hr
GNB5,global,0.429,3,Stim8hr
GNE,condition-specific,0.992,3,Stim48hr
GNG10,condition-specific,1.0,3,Rest
GNG2,condition-specific,0.714,3,Rest
GNG4,condition-specific,1.0,1,Stim8hr
GNG5,condition-specific,0.779,2,Stim8hr
GNG8,condition-specific,,1,Stim48hr
GNGT2,condition-specific,0.6,3,Stim8hr
GNL1,global,0.385,3,Rest
GNLY,global,0.52,3,Rest
GNMT,condition-specific,1.0,1,Rest
GNPAT,condition-specific,0.995,2,Stim8hr
GNPDA1,condition-specific,1.0,3,Rest
GNPDA2,condition-specific,1.0,3,Rest
GNPNAT1,condition-specific,1.0,1,Stim8hr
GNPTAB,global,0.5,3,Stim8hr
GNPTG,global,0.5,3,Stim8hr
GNS,condition-specific,0.87,3,Rest
GOLGA1,condition-specific,,3,Stim48hr
GOLGA2,global,0.429,3,Stim8hr
GOLGA3,condition-specific,0.875,2,Stim8hr
GOLGA5,global,0.53,3,Rest
GOLGA7,condition-specific,0.667,3,Rest
GOLGA8B,condition-specific,0.667,3,Stim48hr
GOLGB1,condition-specific,0.667,3,Rest
GOLIM4,global,0.5,3,Stim8hr
GOLM1,global,0.5,2,Stim8hr
GOLM2,condition-specific,,3,Rest
GOLPH3,condition-specific,1.0,3,Stim8hr
GOLPH3L,condition-specific,1.0,3,Stim8hr
GOLT1B,condition-specific,0.636,2,Stim8hr
GON7,global,0.429,3,Stim48hr
GOPC,global,0.429,3,Rest
GORAB,condition-specific,0.8,3,Rest
GORASP1,global,0.444,3,Stim48hr
GORASP2,condition-specific,0.606,3,Stim8hr
GOSR1,condition-specific,1.0,3,Stim48hr
GOT1,condition-specific,1.0,3,Stim48hr
GOT2,global,0.333,3,Rest
GP5,condition-specific,,1,Rest
GPAA1,condition-specific,0.819,3,Stim8hr
GPALPP1,global,0.449,3,Rest
GPAM,condition-specific,,3,Rest
GPANK1,global,0.5,3,Stim48hr
GPAT3,global,0.5,3,Stim48hr
GPAT4,condition-specific,1.0,3,Stim8hr
GPATCH11,global,0.571,3,Stim48hr
GPATCH2,condition-specific,0.667,3,Stim8hr
GPATCH2L,condition-specific,1.0,3,Rest
GPATCH3,condition-specific,0.811,3,Rest
GPATCH4,global,0.571,3,Stim48hr
GPATCH8,global,0.485,3,Stim48hr
GPBP1,global,0.444,3,Stim8hr
GPBP1L1,global,0.5,3,Stim8hr
GPC1,condition-specific,1.0,3,Stim48hr
GPC2,condition-specific,1.0,1,Stim48hr
GPCPD1,global,0.562,3,Rest
GPD1L,global,0.516,3,Stim48hr
GPD2,condition-specific,0.875,3,Stim48hr
GPHN,condition-specific,,3,Rest
GPI,condition-specific,0.601,3,Stim48hr
GPR107,global,0.4,3,Stim48hr
GPR108,condition-specific,0.632,3,Stim8hr
GPR132,global,0.5,3,Stim8hr
GPR137,global,0.419,3,Stim8hr
GPR137B,condition-specific,1.0,1,Stim8hr
GPR146,condition-specific,0.63,2,Stim8hr
GPR15,condition-specific,0.796,3,Stim8hr
GPR155,global,0.5,3,Stim48hr
GPR157,condition-specific,,1,Stim48hr
GPR160,condition-specific,1.0,2,Rest
GPR171,condition-specific,0.833,3,Stim8hr
GPR18,condition-specific,,3,Rest
GPR180,condition-specific,0.75,3,Stim8hr
GPR183,global,0.429,3,Stim48hr
GPR65,global,0.5,3,Stim8hr
GPR68,condition-specific,1.0,3,Stim8hr
GPRASP2,condition-specific,1.0,1,Rest
GPRIN3,condition-specific,0.714,3,Rest
GPS2,global,0.543,3,Stim8hr
GPSM2,global,0.4,3,Stim8hr
GPSM3,global,0.435,3,Rest
GPT2,condition-specific,0.961,2,Stim8hr
GPX7,condition-specific,1.0,3,Rest
GRAMD1A,condition-specific,0.619,3,Stim48hr
GRAMD2B,condition-specific,1.0,3,Stim8hr
GRAMD4,condition-specific,1.0,1,Stim8hr
GRAP,condition-specific,0.897,3,Rest
GRAP2,condition-specific,1.0,1,Rest
GRB10,condition-specific,1.0,1,Stim48hr
GRB2,condition-specific,0.667,3,Stim48hr
GRHPR,condition-specific,0.667,3,Rest
GRINA,condition-specific,0.778,3,Stim48hr
GRIPAP1,condition-specific,0.857,3,Rest
GRK2,global,0.5,3,Stim8hr
GRK3,global,0.556,2,Stim48hr
GRK5,condition-specific,,3,Rest
GRK6,condition-specific,0.981,3,Stim48hr
GRN,condition-specific,1.0,2,Rest
GRPEL2,condition-specific,0.605,3,Stim8hr
GRSF1,condition-specific,0.988,3,Stim48hr
GSAP,condition-specific,,1,Rest
GSDMD,condition-specific,1.0,3,Stim48hr
GSDME,condition-specific,,1,Stim48hr
GSK3A,global,0.444,3,Rest
GSK3B,condition-specific,1.0,3,Stim8hr
GSKIP,global,0.5,3,Stim8hr
GSPT2,condition-specific,1.0,3,Stim48hr
GSR,condition-specific,1.0,1,Stim48hr
GSS,global,0.576,3,Stim48hr
GSTCD,global,0.422,3,Stim8hr
GSTK1,condition-specific,1.0,3,Stim8hr
GSTM3,condition-specific,,3,Rest
GSTO1,condition-specific,0.615,3,Stim48hr
GSTO2,condition-specific,1.0,1,Stim48hr
GSTP1,global,0.42,3,Stim8hr
GSTZ1,condition-specific,1.0,3,Stim8hr
GTDC1,condition-specific,0.75,3,Stim8hr
GTF2A1,global,0.538,3,Stim48hr
GTF2A2,condition-specific,0.8,3,Stim48hr
GTF2H1,condition-specific,1.0,1,Stim48hr
GTF2H3,condition-specific,0.917,2,Stim8hr
GTF2H5,condition-specific,0.773,3,Stim8hr
GTF2I,global,0.341,3,Stim48hr
GTF2IRD1,condition-specific,1.0,1,Stim48hr
GTF3A,condition-specific,0.667,3,Rest
GTF3C3,condition-specific,0.952,2,Stim8hr
GTF3C4,condition-specific,0.692,2,Stim8hr
GTF3C5,global,0.579,2,Stim8hr
GTF3C6,condition-specific,0.94,2,Stim8hr
GTPBP1,condition-specific,0.667,3,Rest
GTPBP10,condition-specific,0.999,3,Stim48hr
GTPBP2,global,0.5,3,Stim8hr
GTPBP3,condition-specific,0.765,3,Stim48hr
GTPBP6,global,0.5,2,Rest
GTPBP8,condition-specific,,3,Rest
GTSE1,condition-specific,0.889,3,Stim48hr
GTSF1,condition-specific,0.6,2,Stim8hr
GUCA1B,condition-specific,1.0,1,Stim8hr
GUF1,global,0.5,3,Stim8hr
GUSB,condition-specific,,3,Rest
GVQW3,condition-specific,0.667,3,Rest
GXYLT1,condition-specific,0.667,3,Stim48hr
GYG1,condition-specific,1.0,3,Stim8hr
GYPC,global,0.402,3,Stim48hr
GZMA,condition-specific,1.0,3,Rest
GZMB,condition-specific,1.0,1,Stim8hr
GZMH,condition-specific,1.0,2,Stim48hr
GZMM,condition-specific,1.0,3,Stim48hr
H1-1,condition-specific,,1,Stim48hr
H1-10,condition-specific,1.0,3,Stim48hr
H1-3,global,0.5,3,Rest
H1-4,condition-specific,0.851,3,Stim48hr
H1-5,condition-specific,0.679,3,Stim48hr
H2AC11,condition-specific,1.0,2,Stim48hr
H2AC25,condition-specific,,3,Rest
H2AJ,condition-specific,0.87,3,Stim48hr
H2AX,global,0.5,3,Stim48hr
H2AZ1,global,0.51,3,Stim48hr
H2BC21,condition-specific,1.0,3,Stim8hr
H2BC26,condition-specific,1.0,1,Stim48hr
H2BC3,global,0.5,2,Stim48hr
H2BC8,condition-specific,1.0,3,Rest
H2BC9,condition-specific,1.0,3,Stim8hr
H3-3A,condition-specific,0.6,3,Rest
H3-3B,condition-specific,,3,Stim8hr
H3-5,condition-specific,1.0,1,Rest
H3C10,condition-specific,,3,Rest
H3C8,condition-specific,1.0,3,Rest
H4C16,global,0.5,3,Stim48hr
H4C3,condition-specific,,3,Rest
H4C9,condition-specific,0.75,3,Stim48hr
HACD2,condition-specific,0.992,3,Stim48hr
HACD3,condition-specific,0.667,3,Rest
HACD4,condition-specific,0.986,3,Stim8hr
HACE1,condition-specific,0.667,3,Stim8hr
HACL1,global,0.5,3,Stim48hr
HADH,condition-specific,0.667,3,Stim48hr
HADHA,global,0.333,3,Stim8hr
HADHB,global,0.538,3,Stim48hr
HAGH,condition-specific,0.667,3,Stim8hr
HAGHL,condition-specific,1.0,1,Stim48hr
HAPLN3,condition-specific,0.667,3,Stim8hr
HAPSTR1,global,0.516,3,Stim48hr
HASPIN,condition-specific,0.647,3,Stim8hr
HAT1,global,0.5,3,Stim8hr
HAUS2,condition-specific,1.0,1,Stim48hr
HAVCR2,condition-specific,,3,Rest
HAX1,condition-specific,0.96,3,Stim48hr
HBEGF,global,0.5,3,Stim8hr
HBP1,condition-specific,0.6,3,Stim48hr
HBS1L,condition-specific,1.0,1,Rest
HCCS,global,0.391,3,Stim8hr
HCFC1,condition-specific,1.0,1,Stim8hr
HCFC1R1,global,0.429,3,Stim48hr
HCFC2,global,0.375,3,Stim48hr
HCLS1,global,0.4,3,Rest
HCST,condition-specific,1.0,3,Rest
HDAC1,global,0.414,3,Stim8hr
HDAC2,condition-specific,0.828,3,Stim48hr
HDAC3,global,0.484,3,Rest
HDAC4,condition-specific,,3,Rest
HDAC5,condition-specific,0.818,3,Rest
HDAC6,condition-specific,1.0,3,Rest
HDAC7,global,0.489,3,Stim48hr
HDAC8,condition-specific,0.706,3,Stim8hr
HDDC2,global,0.5,3,Rest
HDDC3,condition-specific,0.667,3,Rest
HDGF,global,0.5,3,Stim48hr
HDGFL2,global,0.438,3,Stim48hr
HDGFL3,global,0.437,3,Stim48hr
HDHD2,condition-specific,0.765,2,Rest
HDHD3,global,0.537,3,Stim8hr
HDHD5,condition-specific,1.0,3,Stim8hr
HDLBP,condition-specific,,1,Stim48hr
HEATR3,condition-specific,0.605,3,Stim8hr
HEATR5B,global,0.562,3,Rest
HEATR6,global,0.4,3,Stim48hr
HEBP1,condition-specific,1.0,3,Stim8hr
HEBP2,condition-specific,1.0,3,Rest
HECA,condition-specific,0.714,3,Stim8hr
HECTD1,condition-specific,0.66,3,Stim48hr
HECTD3,condition-specific,0.8,3,Stim48hr
HECTD4,condition-specific,,2,Stim8hr
HELB,condition-specific,,3,Rest
HELLS,condition-specific,0.75,3,Stim48hr
HELQ,condition-specific,1.0,2,Rest
HELZ,condition-specific,0.868,3,Rest
HELZ2,condition-specific,1.0,2,Rest
HEMK1,global,0.5,3,Stim48hr
HENMT1,condition-specific,0.6,3,Rest
HERC1,condition-specific,,3,Stim8hr
HERC3,condition-specific,0.667,3,Rest
HERC4,condition-specific,0.821,3,Stim8hr
HERC5,condition-specific,1.0,3,Stim48hr
HERC6,global,0.5,3,Stim48hr
HERPUD1,condition-specific,,3,Stim8hr
HERPUD2,global,0.538,3,Rest
HES6,condition-specific,1.0,2,Stim8hr
HEXA,condition-specific,0.667,3,Rest
HEXB,condition-specific,1.0,3,Rest
HEXD,global,0.502,3,Rest
HEXIM1,condition-specific,0.814,3,Stim48hr
HGH1,condition-specific,1.0,3,Stim48hr
HGSNAT,condition-specific,0.81,2,Stim8hr
HHAT,condition-specific,1.0,1,Rest
HHLA2,condition-specific,1.0,1,Stim48hr
HIBADH,condition-specific,0.985,3,Rest
HIBCH,condition-specific,0.6,3,Stim8hr
HIC1,condition-specific,1.0,1,Stim48hr
HIF1A,condition-specific,0.977,3,Stim48hr
HIF1AN,condition-specific,1.0,1,Stim48hr
HIGD1A,condition-specific,0.667,3,Stim48hr
HIGD2A,condition-specific,1.0,3,Rest
HIKESHI,condition-specific,0.625,3,Stim8hr
HILPDA,condition-specific,,3,Rest
HINT1,global,0.5,3,Stim48hr
HINT2,condition-specific,1.0,3,Stim48hr
HINT3,global,0.5,3,Stim48hr
HIP1R,condition-specific,0.685,3,Rest
HIPK1,global,0.406,3,Stim8hr
HIPK2,condition-specific,0.889,3,Stim48hr
HIPK3,global,0.459,3,Stim48hr
HIRIP3,condition-specific,0.661,3,Stim8hr
HIVEP2,condition-specific,,1,Rest
HK1,global,0.548,3,Stim48hr
HK2,condition-specific,0.963,3,Stim48hr
HLCS,condition-specific,0.667,3,Stim8hr
HLTF,condition-specific,0.6,3,Stim8hr
HM13,condition-specific,1.0,3,Stim48hr
HMBS,global,0.454,3,Stim8hr
HMCES,global,0.5,3,Stim8hr
HMG20A,global,0.385,3,Rest
HMG20B,global,0.571,3,Stim48hr
HMGB2,condition-specific,0.618,3,Stim48hr
HMGB3,global,0.546,3,Stim48hr
HMGN1,condition-specific,1.0,3,Stim8hr
HMGN3,condition-specific,1.0,3,Stim8hr
HMGN4,global,0.548,3,Rest
HMGN5,condition-specific,0.723,3,Stim48hr
HMGXB3,global,0.515,2,Stim8hr
HMGXB4,global,0.493,3,Stim8hr
HMMR,global,0.438,3,Stim48hr
HMOX1,condition-specific,1.0,2,Stim48hr
HMOX2,global,0.5,3,Stim8hr
HMSD,condition-specific,0.667,2,Stim8hr
HNRNPA0,global,0.5,3,Stim8hr
HNRNPA2B1,global,0.431,3,Stim8hr
HNRNPA3,condition-specific,1.0,1,Stim48hr
HNRNPAB,global,0.364,3,Stim8hr
HNRNPD,condition-specific,0.737,3,Stim48hr
HNRNPDL,condition-specific,0.988,2,Stim48hr
HNRNPF,condition-specific,1.0,2,Stim48hr
HNRNPH2,global,0.4,3,Stim48hr
HNRNPH3,global,0.5,3,Stim48hr
HNRNPLL,global,0.4,3,Rest
HNRNPM,condition-specific,0.837,2,Stim8hr
HNRNPR,condition-specific,0.821,3,Stim8hr
HNRNPUL1,condition-specific,0.8,3,Stim8hr
HNRNPUL2,global,0.5,3,Stim48hr
HOMER1,condition-specific,0.882,2,Stim48hr
HOMER2,condition-specific,,3,Rest
HOMEZ,global,0.5,3,Stim8hr
HOOK3,condition-specific,0.667,3,Rest
HOXB2,condition-specific,0.618,3,Rest
HOXB4,global,0.457,3,Rest
HP1BP3,condition-specific,1.0,1,Rest
HPCAL1,condition-specific,1.0,3,Rest
HPDL,condition-specific,,2,Stim8hr
HPF1,condition-specific,0.806,3,Stim8hr
HPGD,condition-specific,0.6,3,Stim8hr
HPGDS,condition-specific,,1,Stim48hr
HPRT1,condition-specific,0.948,3,Rest
HPS1,global,0.387,3,Stim8hr
HPS3,condition-specific,0.667,3,Stim8hr
HPS4,global,0.371,3,Stim8hr
HPS6,global,0.5,3,Stim48hr
HPSE,global,0.5,3,Stim8hr
HRAS,condition-specific,0.993,3,Stim48hr
HRH2,condition-specific,1.0,2,Stim8hr
HROB,condition-specific,,3,Rest
HS1BP3,global,0.5,3,Stim8hr
HS2ST1,global,0.429,3,Rest
HS3ST3B1,condition-specific,0.978,3,Stim48hr
HS6ST1,condition-specific,0.6,2,Stim48hr
HSBP1,condition-specific,1.0,3,Stim48hr
HSD17B10,global,0.595,3,Stim8hr
HSD17B11,global,0.5,3,Stim8hr
HSD17B12,condition-specific,1.0,1,Stim48hr
HSD17B4,global,0.5,3,Stim8hr
HSD17B8,global,0.533,3,Rest
HSD3B7,condition-specific,1.0,1,Stim48hr
HSDL1,condition-specific,0.667,3,Rest
HSDL2,global,0.541,3,Stim8hr
HSF1,condition-specific,1.0,1,Stim8hr
HSF2,condition-specific,0.619,3,Stim48hr
HSF4,condition-specific,1.0,2,Rest
HSF5,condition-specific,1.0,2,Stim48hr
HSH2D,condition-specific,0.667,3,Stim48hr
HSP90AA1,condition-specific,0.818,2,Stim8hr
HSP90AB1,global,0.518,3,Stim8hr
HSP90B1,condition-specific,0.953,3,Stim48hr
HSPA13,condition-specific,1.0,3,Stim48hr
HSPA14,condition-specific,0.75,3,Stim8hr
HSPA1B,condition-specific,0.64,3,Stim8hr
HSPA1L,global,0.455,3,Rest
HSPA2,condition-specific,,1,Stim48hr
HSPA4,condition-specific,,3,Rest
HSPA8,condition-specific,0.656,2,Stim8hr
HSPB1,condition-specific,0.727,3,Stim8hr
HSPBAP1,condition-specific,0.7,2,Stim8hr
HSPBP1,condition-specific,0.667,3,Stim48hr
HSPD1,condition-specific,1.0,1,Stim8hr
HSPH1,global,0.506,3,Stim48hr
HTATIP2,global,0.5,3,Stim8hr
HTATSF1,global,0.444,3,Stim48hr
HTRA2,global,0.537,3,Stim8hr
HTT,condition-specific,0.899,3,Stim48hr
HUWE1,condition-specific,0.987,3,Rest
HVCN1,condition-specific,,3,Stim8hr
HYAL2,condition-specific,1.0,1,Stim8hr
HYCC1,condition-specific,,3,Rest
HYCC2,global,0.333,3,Stim8hr
HYI,condition-specific,,2,Rest
HYKK,condition-specific,1.0,2,Rest
HYLS1,condition-specific,0.721,3,Stim8hr
IAH1,condition-specific,0.667,3,Stim8hr
IBA57,condition-specific,0.859,3,Stim48hr
IBTK,condition-specific,0.667,3,Rest
ICA1L,condition-specific,0.6,2,Stim48hr
ICAM1,global,0.571,3,Stim48hr
ICAM2,condition-specific,0.929,3,Stim48hr
ICAM3,condition-specific,0.6,3,Stim8hr
ICE2,condition-specific,0.977,3,Stim48hr
ICMT,condition-specific,1.0,1,Stim48hr
ICOS,condition-specific,0.726,3,Rest
ID2,global,0.498,3,Stim48hr
ID3,global,0.5,2,Stim8hr
IDE,condition-specific,1.0,3,Rest
IDH1,global,0.556,3,Stim48hr
IDH2,condition-specific,0.667,3,Stim8hr
IDH3A,condition-specific,0.775,3,Stim8hr
IDH3B,global,0.429,3,Rest
IDH3G,global,0.5,3,Stim48hr
IDNK,condition-specific,1.0,3,Rest
IDS,condition-specific,1.0,3,Stim48hr
IDUA,condition-specific,1.0,1,Stim8hr
IER3,condition-specific,0.667,3,Rest
IER3IP1,global,0.533,3,Stim48hr
IER5,global,0.4,3,Stim48hr
IFFO1,global,0.5,2,Rest
IFFO2,global,0.406,3,Rest
IFI16,global,0.5,3,Stim8hr
IFI27,condition-specific,1.0,2,Stim8hr
IFI27L1,condition-specific,0.924,2,Rest
IFI27L2,condition-specific,,3,Stim8hr
IFI30,global,0.415,3,Stim8hr
IFI35,global,0.5,3,Rest
IFI44,condition-specific,,3,Stim8hr
IFI44L,global,0.5,3,Rest
IFI6,condition-specific,0.667,3,Stim8hr
IFIH1,condition-specific,0.625,3,Rest
IFIT5,condition-specific,1.0,3,Stim48hr
IFITM1,condition-specific,1.0,1,Rest
IFITM2,condition-specific,0.75,3,Rest
IFITM3,global,0.5,3,Rest
IFNAR1,global,0.403,3,Stim8hr
IFNAR2,global,0.4,3,Rest
IFNG,condition-specific,,1,Stim8hr
IFNGR1,condition-specific,0.982,3,Stim8hr
IFNGR2,condition-specific,0.986,2,Stim8hr
IFNLR1,condition-specific,1.0,1,Rest
