perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
TAF6L,Stim8hr,SAGA/chromatin,EMB,0.8,0.078,0.784,0.077,1.0,0.995
TAF6L,Stim8hr,SAGA/chromatin,ACYP2,0.754,0.109,0.726,0.107,1.0,0.905
TAF6L,Stim8hr,SAGA/chromatin,PAQR8,0.943,0.209,0.825,0.196,1.0,0.89
TAF6L,Stim8hr,SAGA/chromatin,TADA3,0.774,0.068,0.763,0.068,1.0,0.996
TAF6L,Stim8hr,SAGA/chromatin,ENC1,-1.309,0.395,-0.868,0.321,0.003,0.811
TAF6L,Stim8hr,SAGA/chromatin,NINJ2,0.982,0.238,0.828,0.219,1.0,0.867
TAF6L,Stim8hr,SAGA/chromatin,SLFN12,1.001,0.205,0.88,0.193,1.0,0.937
TAF6L,Stim8hr,SAGA/chromatin,MBOAT1,1.143,0.173,1.041,0.165,1.0,0.997
TAF6L,Stim8hr,SAGA/chromatin,TCEAL1,1.177,0.295,0.916,0.261,1.0,0.898
TAF6L,Stim8hr,SAGA/chromatin,CTSW,1.356,0.392,0.903,0.32,0.998,0.84
TAF6L,Stim8hr,SAGA/chromatin,SLFN11,0.837,0.128,0.794,0.125,1.0,0.954
TAF6L,Stim8hr,SAGA/chromatin,CORO1B,1.867,0.28,1.488,0.25,1.0,1.0
TAF6L,Stim8hr,SAGA/chromatin,CYP7B1,2.288,0.602,1.048,0.407,0.995,0.872
