perturbed_gene,condition,reg_class,measured_gene,log_fc,lfcSE,theta_post_mean,theta_post_sd,p_effect_positive,p_abs_effect_gt_1p5x
SGF29,Stim48hr,SAGA/chromatin,CYSLTR2,0.937,0.24,0.788,0.22,1.0,0.822
SGF29,Stim48hr,SAGA/chromatin,IMPACT,0.78,0.101,0.755,0.099,1.0,0.957
SGF29,Stim48hr,SAGA/chromatin,RETREG1,-1.235,0.251,-1.024,0.229,0.0,0.973
SGF29,Stim48hr,SAGA/chromatin,GPR15,-2.314,0.237,-1.957,0.217,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CXADR,1.826,0.38,1.242,0.313,1.0,0.982
SGF29,Stim48hr,SAGA/chromatin,JAM2,2.213,0.29,1.737,0.257,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,VOPP1,0.915,0.093,0.89,0.092,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,GOLGA7B,-1.218,0.282,-0.967,0.251,0.0,0.936
SGF29,Stim48hr,SAGA/chromatin,RHOC,0.699,0.085,0.683,0.084,1.0,0.88
SGF29,Stim48hr,SAGA/chromatin,SETD9,0.993,0.177,0.901,0.169,1.0,0.969
SGF29,Stim48hr,SAGA/chromatin,SLA,-0.757,0.109,-0.729,0.107,0.0,0.91
SGF29,Stim48hr,SAGA/chromatin,CLIC2,2.78,0.598,1.283,0.406,0.999,0.957
SGF29,Stim48hr,SAGA/chromatin,DGKI,-1.047,0.276,-0.838,0.247,0.0,0.847
SGF29,Stim48hr,SAGA/chromatin,LDLRAP1,0.936,0.174,0.852,0.166,1.0,0.946
SGF29,Stim48hr,SAGA/chromatin,TSPAN33,1.161,0.249,0.966,0.227,1.0,0.953
SGF29,Stim48hr,SAGA/chromatin,AHCYL2,1.17,0.114,1.122,0.112,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,IFNGR2,1.981,0.247,1.653,0.225,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,STC1,1.925,0.544,0.979,0.388,0.994,0.845
SGF29,Stim48hr,SAGA/chromatin,BTG2,-0.818,0.096,-0.794,0.095,0.0,0.986
SGF29,Stim48hr,SAGA/chromatin,ZFYVE28,0.851,0.133,0.804,0.129,1.0,0.956
SGF29,Stim48hr,SAGA/chromatin,PTGIR,-0.87,0.179,-0.788,0.17,0.0,0.883
SGF29,Stim48hr,SAGA/chromatin,CCDC28B,0.731,0.099,0.708,0.098,1.0,0.897
SGF29,Stim48hr,SAGA/chromatin,ZBTB8A,1.768,0.505,0.965,0.373,0.995,0.846
SGF29,Stim48hr,SAGA/chromatin,IL6R,1.862,0.411,1.201,0.33,1.0,0.969
SGF29,Stim48hr,SAGA/chromatin,IER2,-0.741,0.063,-0.732,0.063,0.0,0.99
SGF29,Stim48hr,SAGA/chromatin,IKZF3,2.0,0.254,1.653,0.231,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,FDXR,0.829,0.12,0.792,0.117,1.0,0.961
SGF29,Stim48hr,SAGA/chromatin,TAMALIN,-1.712,0.498,-0.947,0.37,0.005,0.836
SGF29,Stim48hr,SAGA/chromatin,SYCE2,0.946,0.193,0.844,0.182,1.0,0.923
SGF29,Stim48hr,SAGA/chromatin,SLC25A45,0.843,0.094,0.82,0.093,1.0,0.994
SGF29,Stim48hr,SAGA/chromatin,SELENON,1.847,0.217,1.6,0.202,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DHRS3,-1.476,0.233,-1.253,0.215,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,EXTL2,1.611,0.167,1.476,0.16,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,TRIM58,1.737,0.476,0.999,0.361,0.997,0.874
SGF29,Stim48hr,SAGA/chromatin,HAAO,1.713,0.458,1.016,0.353,0.998,0.889
SGF29,Stim48hr,SAGA/chromatin,DUSP19,1.442,0.188,1.292,0.178,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,HPGDS,-2.059,0.571,-0.998,0.397,0.006,0.851
SGF29,Stim48hr,SAGA/chromatin,RNF149,-0.729,0.074,-0.716,0.073,0.0,0.964
SGF29,Stim48hr,SAGA/chromatin,TMEM169,0.835,0.179,0.755,0.171,1.0,0.841
SGF29,Stim48hr,SAGA/chromatin,NUAK2,1.508,0.432,0.937,0.341,0.997,0.849
SGF29,Stim48hr,SAGA/chromatin,AIM2,-0.984,0.132,-0.931,0.128,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,CTLA4,-1.202,0.171,-1.098,0.163,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,ICOS,-0.787,0.142,-0.739,0.137,0.0,0.869
SGF29,Stim48hr,SAGA/chromatin,HESX1,1.168,0.257,0.961,0.233,1.0,0.947
SGF29,Stim48hr,SAGA/chromatin,ENPP6,-2.878,0.646,-1.218,0.42,0.002,0.934
SGF29,Stim48hr,SAGA/chromatin,TERT,1.492,0.291,1.168,0.258,1.0,0.988
SGF29,Stim48hr,SAGA/chromatin,ACSL6,-1.943,0.323,-1.449,0.279,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,IL3,-5.201,0.847,-1.556,0.463,0.0,0.982
SGF29,Stim48hr,SAGA/chromatin,SEPTIN8,0.742,0.115,0.711,0.112,1.0,0.87
SGF29,Stim48hr,SAGA/chromatin,CITED2,-0.891,0.178,-0.807,0.17,0.0,0.904
SGF29,Stim48hr,SAGA/chromatin,SAMD3,-1.628,0.257,-1.34,0.233,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,IL31RA,1.541,0.309,1.174,0.27,1.0,0.985
SGF29,Stim48hr,SAGA/chromatin,ZNF704,-1.3,0.393,-0.865,0.32,0.003,0.809
SGF29,Stim48hr,SAGA/chromatin,ALDH7A1,2.851,0.352,2.031,0.297,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,OTUD1,-1.671,0.238,-1.411,0.218,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,TTC8,0.92,0.167,0.843,0.16,1.0,0.946
SGF29,Stim48hr,SAGA/chromatin,STOX1,1.204,0.278,0.962,0.248,1.0,0.935
SGF29,Stim48hr,SAGA/chromatin,ZNF219,0.86,0.183,0.775,0.173,1.0,0.864
SGF29,Stim48hr,SAGA/chromatin,AGBL2,1.341,0.195,1.193,0.184,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,GPT2,-1.089,0.14,-1.023,0.136,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CKB,0.872,0.211,0.762,0.197,1.0,0.816
SGF29,Stim48hr,SAGA/chromatin,TRIM44,0.717,0.088,0.699,0.087,1.0,0.905
SGF29,Stim48hr,SAGA/chromatin,IFTAP,1.656,0.336,1.209,0.287,1.0,0.985
SGF29,Stim48hr,SAGA/chromatin,RRAD,2.051,0.546,1.04,0.389,0.996,0.879
SGF29,Stim48hr,SAGA/chromatin,MAP1A,1.207,0.233,1.026,0.214,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,CERCAM,1.354,0.31,1.03,0.271,1.0,0.95
SGF29,Stim48hr,SAGA/chromatin,PROCA1,0.902,0.192,0.805,0.182,1.0,0.887
SGF29,Stim48hr,SAGA/chromatin,NCKAP5L,0.976,0.225,0.838,0.208,1.0,0.887
SGF29,Stim48hr,SAGA/chromatin,CYB5D2,0.75,0.111,0.721,0.109,1.0,0.895
SGF29,Stim48hr,SAGA/chromatin,NUDT8,0.707,0.105,0.682,0.103,1.0,0.826
SGF29,Stim48hr,SAGA/chromatin,FAM234A,1.531,0.148,1.429,0.143,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DDIT4,-0.696,0.097,-0.676,0.096,0.0,0.827
SGF29,Stim48hr,SAGA/chromatin,GNG4,1.769,0.435,1.094,0.342,0.999,0.932
SGF29,Stim48hr,SAGA/chromatin,ZSWIM1,0.958,0.153,0.89,0.148,1.0,0.98
SGF29,Stim48hr,SAGA/chromatin,LRATD2,-2.448,0.267,-1.987,0.24,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,PKIG,1.654,0.357,1.168,0.3,1.0,0.974
SGF29,Stim48hr,SAGA/chromatin,LGALS9,0.893,0.183,0.806,0.173,1.0,0.899
SGF29,Stim48hr,SAGA/chromatin,B3GALNT1,-1.641,0.287,-1.294,0.255,0.0,0.997
SGF29,Stim48hr,SAGA/chromatin,CXCL8,-2.746,0.518,-1.463,0.378,0.0,0.99
SGF29,Stim48hr,SAGA/chromatin,CHRNA5,0.758,0.142,0.711,0.137,1.0,0.821
SGF29,Stim48hr,SAGA/chromatin,RAC3,0.835,0.115,0.801,0.113,1.0,0.972
SGF29,Stim48hr,SAGA/chromatin,SMAD1,1.778,0.286,1.404,0.254,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,SERPINB9,-0.77,0.128,-0.731,0.125,0.0,0.879
SGF29,Stim48hr,SAGA/chromatin,KCNMB3,1.068,0.29,0.838,0.257,0.999,0.837
SGF29,Stim48hr,SAGA/chromatin,CDC42BPG,1.631,0.294,1.271,0.26,1.0,0.996
SGF29,Stim48hr,SAGA/chromatin,PDE7B,-2.754,0.425,-1.732,0.337,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,DLK2,1.099,0.271,0.887,0.243,1.0,0.893
SGF29,Stim48hr,SAGA/chromatin,PPID,0.75,0.094,0.729,0.093,1.0,0.94
SGF29,Stim48hr,SAGA/chromatin,EIF2AK3,-0.887,0.089,-0.865,0.088,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CXCR6,-1.746,0.332,-1.284,0.285,0.0,0.993
SGF29,Stim48hr,SAGA/chromatin,RCAN2,2.198,0.623,0.97,0.414,0.99,0.824
SGF29,Stim48hr,SAGA/chromatin,IL16,-0.951,0.105,-0.918,0.103,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,TCEAL1,0.898,0.197,0.797,0.185,1.0,0.874
SGF29,Stim48hr,SAGA/chromatin,NIPAL4,2.985,0.382,2.023,0.314,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SMPDL3A,1.438,0.422,0.909,0.336,0.997,0.833
SGF29,Stim48hr,SAGA/chromatin,THEMIS,-0.775,0.099,-0.751,0.097,0.0,0.956
SGF29,Stim48hr,SAGA/chromatin,CORO1B,1.831,0.188,1.641,0.178,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,LRRN3,-1.024,0.123,-0.976,0.12,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,RAPH1,1.716,0.186,1.542,0.177,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MICOS10,0.65,0.054,0.644,0.054,1.0,0.864
SGF29,Stim48hr,SAGA/chromatin,CCDC106,1.057,0.165,0.971,0.158,1.0,0.993
SGF29,Stim48hr,SAGA/chromatin,GCSAM,1.831,0.231,1.559,0.214,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ZDHHC14,-1.166,0.198,-1.034,0.186,0.0,0.992
SGF29,Stim48hr,SAGA/chromatin,MARCKSL1,0.788,0.116,0.754,0.114,1.0,0.932
SGF29,Stim48hr,SAGA/chromatin,DDIT3,-1.064,0.166,-0.976,0.159,0.0,0.993
SGF29,Stim48hr,SAGA/chromatin,JAKMIP2,1.15,0.338,0.838,0.288,0.998,0.81
SGF29,Stim48hr,SAGA/chromatin,SPHK1,0.856,0.174,0.779,0.166,1.0,0.879
SGF29,Stim48hr,SAGA/chromatin,SGF29,-3.12,0.287,-2.459,0.255,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,PLAAT3,1.52,0.256,1.253,0.232,1.0,0.998
SGF29,Stim48hr,SAGA/chromatin,B3GNT5,-1.324,0.324,-0.986,0.28,0.0,0.924
SGF29,Stim48hr,SAGA/chromatin,CDK5R1,-0.958,0.19,-0.858,0.179,0.0,0.936
SGF29,Stim48hr,SAGA/chromatin,MTX3,-1.297,0.116,-1.242,0.114,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CASKIN2,1.78,0.355,1.261,0.299,1.0,0.988
SGF29,Stim48hr,SAGA/chromatin,MAGEF1,1.124,0.109,1.082,0.107,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,TGIF1,-0.986,0.192,-0.88,0.182,0.0,0.948
SGF29,Stim48hr,SAGA/chromatin,ZBED2,-0.874,0.09,-0.852,0.089,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,ERN1,-1.257,0.12,-1.201,0.117,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,GP5,1.933,0.415,1.238,0.332,1.0,0.975
SGF29,Stim48hr,SAGA/chromatin,ZHX2,-1.353,0.214,-1.178,0.199,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,MSC,2.746,0.544,1.396,0.388,1.0,0.982
SGF29,Stim48hr,SAGA/chromatin,GIMAP7,-0.934,0.143,-0.875,0.139,0.0,0.982
SGF29,Stim48hr,SAGA/chromatin,RAB39A,2.346,0.635,1.014,0.417,0.992,0.848
SGF29,Stim48hr,SAGA/chromatin,PCED1B,-0.97,0.113,-0.931,0.11,0.0,0.999
SGF29,Stim48hr,SAGA/chromatin,APOBEC3B,0.852,0.166,0.781,0.159,1.0,0.892
SGF29,Stim48hr,SAGA/chromatin,NRIP1,0.949,0.153,0.882,0.147,1.0,0.978
SGF29,Stim48hr,SAGA/chromatin,SLC26A11,0.93,0.187,0.835,0.177,1.0,0.921
SGF29,Stim48hr,SAGA/chromatin,TLCD5,1.686,0.311,1.28,0.271,1.0,0.995
SGF29,Stim48hr,SAGA/chromatin,PHLDA2,0.961,0.195,0.855,0.184,1.0,0.929
SGF29,Stim48hr,SAGA/chromatin,TMEM30B,1.726,0.306,1.321,0.268,1.0,0.997
SGF29,Stim48hr,SAGA/chromatin,TDRKH,0.844,0.114,0.809,0.112,1.0,0.977
SGF29,Stim48hr,SAGA/chromatin,TSHZ2,1.102,0.256,0.908,0.233,1.0,0.917
SGF29,Stim48hr,SAGA/chromatin,SPNS3,-1.247,0.254,-1.03,0.231,0.0,0.973
SGF29,Stim48hr,SAGA/chromatin,GJC1,1.12,0.243,0.939,0.223,1.0,0.944
SGF29,Stim48hr,SAGA/chromatin,GPR19,-0.743,0.121,-0.709,0.118,0.0,0.854
SGF29,Stim48hr,SAGA/chromatin,MX2,0.982,0.265,0.799,0.239,1.0,0.814
SGF29,Stim48hr,SAGA/chromatin,UPP1,-0.969,0.106,-0.934,0.105,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,SH2D1A,-0.697,0.09,-0.679,0.089,0.0,0.855
SGF29,Stim48hr,SAGA/chromatin,PRKX,-0.828,0.151,-0.771,0.146,0.0,0.899
SGF29,Stim48hr,SAGA/chromatin,NPW,1.6,0.377,1.093,0.311,1.0,0.949
SGF29,Stim48hr,SAGA/chromatin,DENND5A,1.284,0.192,1.146,0.182,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,CSF1,-1.221,0.245,-1.021,0.224,0.0,0.974
SGF29,Stim48hr,SAGA/chromatin,MAML2,0.885,0.127,0.841,0.123,1.0,0.981
SGF29,Stim48hr,SAGA/chromatin,TOP1MT,0.944,0.097,0.915,0.096,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CEND1,1.518,0.372,1.046,0.309,1.0,0.932
SGF29,Stim48hr,SAGA/chromatin,PDE4B,-0.822,0.15,-0.765,0.145,0.0,0.893
SGF29,Stim48hr,SAGA/chromatin,APOBR,-1.187,0.18,-1.073,0.171,0.0,0.998
SGF29,Stim48hr,SAGA/chromatin,OSBP2,1.023,0.243,0.858,0.222,1.0,0.891
SGF29,Stim48hr,SAGA/chromatin,NRBP2,1.252,0.219,1.083,0.204,1.0,0.993
SGF29,Stim48hr,SAGA/chromatin,TCEAL9,1.893,0.506,1.031,0.374,0.997,0.884
SGF29,Stim48hr,SAGA/chromatin,RBM11,1.292,0.311,0.982,0.271,1.0,0.928
SGF29,Stim48hr,SAGA/chromatin,IL3RA,1.056,0.256,0.87,0.232,1.0,0.89
SGF29,Stim48hr,SAGA/chromatin,TCN2,2.064,0.332,1.517,0.285,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,ATP6V0A2,0.853,0.096,0.828,0.094,1.0,0.995
SGF29,Stim48hr,SAGA/chromatin,MAPK11,1.084,0.137,1.022,0.133,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,LMNTD2,1.218,0.325,0.906,0.28,0.999,0.874
SGF29,Stim48hr,SAGA/chromatin,SNAI3,-0.868,0.206,-0.763,0.193,0.0,0.822
SGF29,Stim48hr,SAGA/chromatin,EDARADD,-1.483,0.298,-1.15,0.262,0.0,0.985
SGF29,Stim48hr,SAGA/chromatin,SEPTIN10,1.713,0.441,1.048,0.345,0.999,0.91
SGF29,Stim48hr,SAGA/chromatin,CXCR3,-1.161,0.135,-1.097,0.131,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,ZNF70,1.005,0.188,0.902,0.178,1.0,0.963
SGF29,Stim48hr,SAGA/chromatin,TMEM220,1.458,0.289,1.146,0.256,1.0,0.986
SGF29,Stim48hr,SAGA/chromatin,ARL4C,-0.971,0.101,-0.94,0.099,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MAPK12,1.387,0.17,1.268,0.162,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,PDCD1,-1.094,0.266,-0.89,0.239,0.0,0.898
SGF29,Stim48hr,SAGA/chromatin,CALHM6,-0.823,0.179,-0.745,0.171,0.0,0.825
SGF29,Stim48hr,SAGA/chromatin,TDRD7,1.262,0.177,1.145,0.169,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,AKR1C3,-2.425,0.546,-1.229,0.389,0.001,0.951
SGF29,Stim48hr,SAGA/chromatin,NUDT11,1.642,0.365,1.145,0.305,1.0,0.967
SGF29,Stim48hr,SAGA/chromatin,TCF4,1.792,0.439,1.1,0.344,0.999,0.933
SGF29,Stim48hr,SAGA/chromatin,ERI2,0.715,0.076,0.702,0.075,1.0,0.939
SGF29,Stim48hr,SAGA/chromatin,GM2A,1.126,0.116,1.079,0.114,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,MVB12B,1.556,0.429,0.971,0.339,0.998,0.873
SGF29,Stim48hr,SAGA/chromatin,ARID5A,0.718,0.105,0.693,0.103,1.0,0.853
SGF29,Stim48hr,SAGA/chromatin,SLC25A29,1.084,0.236,0.917,0.217,1.0,0.936
SGF29,Stim48hr,SAGA/chromatin,STMN3,1.845,0.271,1.488,0.243,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NMB,1.3,0.124,1.239,0.121,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CFD,1.526,0.271,1.231,0.243,1.0,0.996
SGF29,Stim48hr,SAGA/chromatin,MYO1C,0.76,0.098,0.737,0.097,1.0,0.942
SGF29,Stim48hr,SAGA/chromatin,TEAD4,1.37,0.232,1.165,0.214,1.0,0.997
SGF29,Stim48hr,SAGA/chromatin,MT1F,1.39,0.28,1.107,0.25,1.0,0.982
SGF29,Stim48hr,SAGA/chromatin,ATL1,1.412,0.427,0.884,0.338,0.996,0.812
SGF29,Stim48hr,SAGA/chromatin,ZNF358,0.867,0.201,0.766,0.189,1.0,0.831
SGF29,Stim48hr,SAGA/chromatin,SFMBT2,-0.857,0.108,-0.825,0.106,0.0,0.988
SGF29,Stim48hr,SAGA/chromatin,SGMS1,0.923,0.154,0.857,0.148,1.0,0.967
SGF29,Stim48hr,SAGA/chromatin,ZYG11A,1.824,0.385,1.23,0.316,1.0,0.979
SGF29,Stim48hr,SAGA/chromatin,LY6G5C,1.05,0.206,0.922,0.193,1.0,0.96
SGF29,Stim48hr,SAGA/chromatin,LST1,-0.801,0.167,-0.734,0.16,0.0,0.825
SGF29,Stim48hr,SAGA/chromatin,CCNI2,1.79,0.271,1.444,0.243,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,CCDC85C,0.94,0.193,0.838,0.183,1.0,0.917
SGF29,Stim48hr,SAGA/chromatin,ITPRIPL2,0.76,0.126,0.722,0.123,1.0,0.868
SGF29,Stim48hr,SAGA/chromatin,KLHL23,0.952,0.159,0.879,0.153,1.0,0.973
SGF29,Stim48hr,SAGA/chromatin,SYNJ2BP,1.217,0.175,1.107,0.167,1.0,0.999
SGF29,Stim48hr,SAGA/chromatin,PPM1N,1.644,0.341,1.192,0.29,1.0,0.982
SGF29,Stim48hr,SAGA/chromatin,SYCE3,1.445,0.284,1.143,0.253,1.0,0.986
SGF29,Stim48hr,SAGA/chromatin,AP4M1,0.729,0.121,0.696,0.118,1.0,0.827
SGF29,Stim48hr,SAGA/chromatin,HMSD,1.377,0.2,1.217,0.188,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,NPTXR,1.464,0.431,0.911,0.34,0.996,0.831
SGF29,Stim48hr,SAGA/chromatin,C2CD4D,1.18,0.228,1.009,0.21,1.0,0.978
SGF29,Stim48hr,SAGA/chromatin,LTB,-1.657,0.16,-1.529,0.154,0.0,1.0
SGF29,Stim48hr,SAGA/chromatin,TNF,-0.945,0.19,-0.845,0.18,0.0,0.925
SGF29,Stim48hr,SAGA/chromatin,SMIM1,1.596,0.365,1.112,0.305,1.0,0.958
SGF29,Stim48hr,SAGA/chromatin,CDRT4,-0.805,0.16,-0.743,0.153,0.0,0.849
SGF29,Stim48hr,SAGA/chromatin,CD302,1.632,0.3,1.262,0.264,1.0,0.995
SGF29,Stim48hr,SAGA/chromatin,DBNDD2,0.997,0.223,0.858,0.207,1.0,0.906
SGF29,Stim48hr,SAGA/chromatin,C8orf88,1.196,0.338,0.871,0.288,0.999,0.84
SGF29,Stim48hr,SAGA/chromatin,CTSO,0.942,0.213,0.821,0.199,1.0,0.882
SGF29,Stim48hr,SAGA/chromatin,ZNF253,-0.995,0.196,-0.884,0.185,0.0,0.948
SGF29,Stim48hr,SAGA/chromatin,TUBB3,2.182,0.295,1.7,0.26,1.0,1.0
SGF29,Stim48hr,SAGA/chromatin,TXNIP,-0.769,0.117,-0.736,0.115,0.0,0.907
SGF29,Stim48hr,SAGA/chromatin,FXYD1,1.113,0.224,0.956,0.208,1.0,0.963
SGF29,Stim48hr,SAGA/chromatin,CYFIP1,0.703,0.089,0.686,0.088,1.0,0.875
SGF29,Stim48hr,SAGA/chromatin,PIK3R6,1.845,0.408,1.194,0.329,1.0,0.968
SGF29,Stim48hr,SAGA/chromatin,PCGF2,1.692,0.291,1.326,0.258,1.0,0.998
SGF29,Stim48hr,SAGA/chromatin,TRAC,-0.991,0.13,-0.939,0.127,0.0,0.997
TADA2B,Stim8hr,SAGA/chromatin,CFH,3.951,0.918,1.053,0.474,0.987,0.839
TADA2B,Stim8hr,SAGA/chromatin,CASP10,1.161,0.132,1.099,0.128,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,CD38,1.038,0.172,0.947,0.164,1.0,0.986
TADA2B,Stim8hr,SAGA/chromatin,ARHGAP33,1.055,0.284,0.835,0.253,1.0,0.839
TADA2B,Stim8hr,SAGA/chromatin,REXO5,1.174,0.181,1.06,0.172,1.0,0.997
TADA2B,Stim8hr,SAGA/chromatin,ATOSB,1.224,0.225,1.051,0.208,1.0,0.987
TADA2B,Stim8hr,SAGA/chromatin,CROT,0.781,0.131,0.739,0.128,1.0,0.886
TADA2B,Stim8hr,SAGA/chromatin,SPATA20,1.157,0.118,1.107,0.115,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,TNFRSF12A,1.41,0.314,1.067,0.273,1.0,0.961
TADA2B,Stim8hr,SAGA/chromatin,ETV7,1.995,0.403,1.303,0.326,1.0,0.986
TADA2B,Stim8hr,SAGA/chromatin,IDS,0.83,0.09,0.809,0.089,1.0,0.994
TADA2B,Stim8hr,SAGA/chromatin,MRC2,1.442,0.204,1.27,0.191,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,CALCOCO1,1.056,0.157,0.977,0.151,1.0,0.995
TADA2B,Stim8hr,SAGA/chromatin,MVP,0.901,0.095,0.875,0.094,1.0,0.999
TADA2B,Stim8hr,SAGA/chromatin,NUB1,0.878,0.07,0.864,0.07,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,PHLDB1,1.786,0.399,1.176,0.323,1.0,0.966
TADA2B,Stim8hr,SAGA/chromatin,CD74,0.946,0.153,0.879,0.148,1.0,0.976
TADA2B,Stim8hr,SAGA/chromatin,DERA,0.825,0.079,0.809,0.078,1.0,0.998
TADA2B,Stim8hr,SAGA/chromatin,CD44,-0.795,0.091,-0.774,0.09,0.0,0.982
TADA2B,Stim8hr,SAGA/chromatin,KCNG1,-2.2,0.628,-0.962,0.415,0.01,0.819
TADA2B,Stim8hr,SAGA/chromatin,SLAMF7,-1.016,0.242,-0.853,0.222,0.0,0.886
TADA2B,Stim8hr,SAGA/chromatin,GRN,1.177,0.123,1.122,0.12,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,IFT88,0.877,0.143,0.822,0.139,1.0,0.956
TADA2B,Stim8hr,SAGA/chromatin,VCL,0.753,0.099,0.73,0.097,1.0,0.931
TADA2B,Stim8hr,SAGA/chromatin,STAP1,1.031,0.202,0.91,0.19,1.0,0.957
TADA2B,Stim8hr,SAGA/chromatin,TUBG2,1.231,0.248,1.025,0.226,1.0,0.974
TADA2B,Stim8hr,SAGA/chromatin,RIPOR1,1.397,0.185,1.256,0.176,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,AIFM2,0.945,0.164,0.869,0.157,1.0,0.965
TADA2B,Stim8hr,SAGA/chromatin,CAPG,1.972,0.246,1.647,0.225,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,ATOSA,0.752,0.121,0.718,0.118,1.0,0.871
TADA2B,Stim8hr,SAGA/chromatin,COL9A2,2.538,0.467,1.483,0.357,1.0,0.994
TADA2B,Stim8hr,SAGA/chromatin,H6PD,1.307,0.115,1.253,0.113,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,FOXP3,-3.24,0.575,-1.559,0.399,0.0,0.993
TADA2B,Stim8hr,SAGA/chromatin,LIMA1,1.051,0.16,0.97,0.154,1.0,0.994
TADA2B,Stim8hr,SAGA/chromatin,HEBP2,0.806,0.127,0.766,0.124,1.0,0.929
TADA2B,Stim8hr,SAGA/chromatin,FNIP2,0.857,0.117,0.82,0.115,1.0,0.98
TADA2B,Stim8hr,SAGA/chromatin,HHAT,1.266,0.35,0.904,0.296,0.999,0.859
TADA2B,Stim8hr,SAGA/chromatin,EIF2AK2,0.709,0.07,0.698,0.069,1.0,0.949
TADA2B,Stim8hr,SAGA/chromatin,MCOLN3,1.357,0.207,1.191,0.194,1.0,0.999
TADA2B,Stim8hr,SAGA/chromatin,PARP12,0.785,0.111,0.755,0.109,1.0,0.94
TADA2B,Stim8hr,SAGA/chromatin,GNA15,1.063,0.204,0.935,0.192,1.0,0.966
TADA2B,Stim8hr,SAGA/chromatin,HAGH,0.685,0.068,0.675,0.067,1.0,0.91
TADA2B,Stim8hr,SAGA/chromatin,CASP8,0.701,0.077,0.687,0.076,1.0,0.911
TADA2B,Stim8hr,SAGA/chromatin,SNX24,1.813,0.332,1.334,0.284,1.0,0.996
TADA2B,Stim8hr,SAGA/chromatin,CNN2,1.089,0.143,1.021,0.138,1.0,0.999
TADA2B,Stim8hr,SAGA/chromatin,ABCA7,1.067,0.172,0.973,0.164,1.0,0.991
TADA2B,Stim8hr,SAGA/chromatin,FAR2,1.291,0.389,0.864,0.318,0.997,0.809
TADA2B,Stim8hr,SAGA/chromatin,CHI3L2,1.235,0.267,1.002,0.241,1.0,0.958
TADA2B,Stim8hr,SAGA/chromatin,TRAM2,1.971,0.235,1.671,0.216,1.0,1.0
TADA2B,Stim8hr,SAGA/chromatin,EVI5,1.179,0.211,1.029,0.198,1.0,0.988
