source,target,condition,subsumption_frac
ADNP,ACACA,Rest,0.0851063829787234
ADNP,ADNP2,Rest,0.10919540229885058
ADNP,AHR,Rest,0.12280701754385964
ADNP,AHSA1,Rest,0.0967741935483871
ADNP,AK3,Rest,0.09508196721311475
ADNP,AKAP17A,Rest,0.1111111111111111
ADNP,ANKRD11,Rest,0.1065989847715736
ADNP,ANKRD27,Rest,0.14358974358974358
ADNP,ANTKMT,Rest,0.0962962962962963
ADNP,APEX1,Rest,0.06818181818181818
ADNP,APMAP,Rest,0.06993006993006994
ADNP,APOBEC3B,Rest,0.11004784688995216
ADNP,ARHGAP15,Rest,0.08176100628930817
ADNP,ARHGAP30,Rest,0.08036890645586298
ADNP,ARID5A,Rest,0.09767441860465116
ADNP,ARIH2,Rest,0.10909090909090909
ADNP,ARL8B,Rest,0.09375
ADNP,ARMC8,Rest,0.09345794392523364
ADNP,ARRB1,Rest,0.11267605633802817
ADNP,ASXL1,Rest,0.08648648648648649
ADNP,ATAD5,Rest,0.10037878787878787
ADNP,ATF7IP,Rest,0.1271186440677966
ADNP,ATG12,Rest,0.09923664122137404
ADNP,ATM,Rest,0.13740458015267176
ADNP,B4GALT5,Rest,0.14705882352941177
ADNP,BCL9L,Rest,0.10408921933085502
ADNP,BCOR,Rest,0.1144578313253012
ADNP,BHLHE40,Rest,0.1277533039647577
ADNP,BRD7,Rest,0.13851351351351351
ADNP,BRMS1,Rest,0.10730593607305935
ADNP,BTAF1,Rest,0.09863429438543247
ADNP,BZW2,Rest,0.1276595744680851
ADNP,C16orf87,Rest,0.07983193277310924
ADNP,C6orf120,Rest,0.08900523560209424
ADNP,C8orf33,Rest,0.09944751381215469
ADNP,CAB39,Rest,0.13930348258706468
ADNP,CALM1,Rest,0.05357142857142857
ADNP,CAND1,Rest,0.10677966101694915
ADNP,CARM1,Rest,0.09465020576131687
ADNP,CARNMT1,Rest,0.08441558441558442
ADNP,CASP3,Rest,0.0898876404494382
ADNP2,TADA2B,Rest,0.08837209302325581
ADNP2,ELAVL1,Rest,0.08649468892261002
ADNP2,ARNT,Rest,0.09930715935334873
ADNP2,NSD1,Rest,0.08702064896755163
ADNP2,USP22,Rest,0.10013175230566534
ADNP2,AACS,Rest,0.08943089430894309
ADNP2,ABCA5,Rest,0.11267605633802817
ADNP2,ABCC1,Rest,0.06779661016949153
ADNP2,ACACA,Rest,0.10638297872340426
ADNP2,ADNP,Rest,0.0945273631840796
ADNP2,AHR,Rest,0.09184726522187822
ADNP2,AHSA1,Rest,0.06451612903225806
ADNP2,AK3,Rest,0.07540983606557378
ADNP2,AKAP17A,Rest,0.08333333333333333
ADNP2,ANKRD11,Rest,0.14213197969543148
ADNP2,ANKRD27,Rest,0.09743589743589744
ADNP2,ANTKMT,Rest,0.08888888888888889
ADNP2,APEX1,Rest,0.08333333333333333
ADNP2,APMAP,Rest,0.07692307692307693
ADNP2,APOBEC3B,Rest,0.04784688995215311
ADNP2,ARHGAP15,Rest,0.1069182389937107
ADNP2,ARHGAP30,Rest,0.09617918313570488
ADNP2,ARID5A,Rest,0.07441860465116279
ADNP2,ARIH2,Rest,0.08484848484848485
ADNP2,ARL8B,Rest,0.10267857142857142
ADNP2,ARMC8,Rest,0.06074766355140187
ADNP2,ARRB1,Rest,0.04929577464788732
ADNP2,ASXL1,Rest,0.0972972972972973
ADNP2,ATAD5,Rest,0.09943181818181818
ADNP2,ATF7IP,Rest,0.11016949152542373
ADNP2,ATG12,Rest,0.07888040712468193
ADNP2,ATM,Rest,0.08396946564885496
ADNP2,B4GALT5,Rest,0.0661764705882353
