index,eigenvalue,is_global,is_signal,lam_plus,sigma2
465,1.284037,False,False,1.490873,0.504244
466,1.283152,False,False,1.490873,0.504244
467,1.28099,False,False,1.490873,0.504244
468,1.280158,False,False,1.490873,0.504244
469,1.27878,False,False,1.490873,0.504244
470,1.278057,False,False,1.490873,0.504244
471,1.277028,False,False,1.490873,0.504244
472,1.274562,False,False,1.490873,0.504244
473,1.273021,False,False,1.490873,0.504244
474,1.272316,False,False,1.490873,0.504244
475,1.270406,False,False,1.490873,0.504244
476,1.268962,False,False,1.490873,0.504244
477,1.267492,False,False,1.490873,0.504244
478,1.265872,False,False,1.490873,0.504244
479,1.265505,False,False,1.490873,0.504244
480,1.263981,False,False,1.490873,0.504244
481,1.263198,False,False,1.490873,0.504244
482,1.262304,False,False,1.490873,0.504244
483,1.260693,False,False,1.490873,0.504244
484,1.259342,False,False,1.490873,0.504244
485,1.256975,False,False,1.490873,0.504244
486,1.255805,False,False,1.490873,0.504244
487,1.254542,False,False,1.490873,0.504244
488,1.254254,False,False,1.490873,0.504244
489,1.252282,False,False,1.490873,0.504244
490,1.251242,False,False,1.490873,0.504244
491,1.249985,False,False,1.490873,0.504244
492,1.248655,False,False,1.490873,0.504244
493,1.248224,False,False,1.490873,0.504244
494,1.247002,False,False,1.490873,0.504244
495,1.245898,False,False,1.490873,0.504244
496,1.244707,False,False,1.490873,0.504244
497,1.242649,False,False,1.490873,0.504244
498,1.241741,False,False,1.490873,0.504244
499,1.240335,False,False,1.490873,0.504244
500,1.239745,False,False,1.490873,0.504244
501,1.238226,False,False,1.490873,0.504244
502,1.237141,False,False,1.490873,0.504244
503,1.235728,False,False,1.490873,0.504244
504,1.233279,False,False,1.490873,0.504244
505,1.232349,False,False,1.490873,0.504244
506,1.231951,False,False,1.490873,0.504244
507,1.230271,False,False,1.490873,0.504244
508,1.229443,False,False,1.490873,0.504244
509,1.228503,False,False,1.490873,0.504244
510,1.226976,False,False,1.490873,0.504244
511,1.226121,False,False,1.490873,0.504244
512,1.224723,False,False,1.490873,0.504244
513,1.223883,False,False,1.490873,0.504244
514,1.222156,False,False,1.490873,0.504244
515,1.220937,False,False,1.490873,0.504244
516,1.220115,False,False,1.490873,0.504244
517,1.218632,False,False,1.490873,0.504244
518,1.216349,False,False,1.490873,0.504244
