gene,raw_score,kd_gated_score,eb_score,raw_rank,kd_gated_rank,eb_rank,dropped_by_kd_gate,rank_shift_raw_to_eb
GOLGA8A,508,,,642,,,True,
DPH1,508,508.0,0.5639,642,548,492,False,150.0
CCR4,507,507.0,-0.245,644,549,1131,False,-487.0
ATG12,507,507.0,-0.2664,644,549,1151,False,-507.0
SRSF11,506,506.0,0.4311,646,551,591,False,55.0
KAT6A,505,505.0,0.5329,647,552,520,False,127.0
CCR10,505,,,647,,,True,
MRPL2,505,,,647,,,True,
TIMM8B,499,499.0,0.8725,650,553,316,False,334.0
DCK,499,499.0,-0.8556,650,553,1787,False,-1137.0
ID2,498,498.0,0.7478,652,555,394,False,258.0
SEC24A,497,63.0,-0.064,653,1687,971,False,-318.0
L3MBTL2,496,496.0,1.0471,654,556,239,False,415.0
HAUS8,496,,,654,,,True,
RPS6KB1,496,,,654,,,True,
INO80C,495,495.0,0.9872,657,557,263,False,394.0
GZMB,495,495.0,0.6446,657,557,453,False,204.0
WAS,494,494.0,0.0948,659,559,829,False,-170.0
ZNF512B,492,492.0,-1.1493,660,560,2208,False,-1548.0
XBP1,491,491.0,0.8074,661,561,354,False,307.0
PGK1,491,491.0,0.9013,661,561,303,False,358.0
TTC4,490,490.0,0.6885,663,563,428,False,235.0
ZNHIT3,490,,,663,,,True,
PGP,489,489.0,-1.4878,665,564,2851,False,-2186.0
NLRX1,488,488.0,-0.1972,666,565,1088,False,-422.0
CREB1,488,488.0,0.9553,666,565,280,False,386.0
SHLD1,486,486.0,1.0021,668,567,258,False,410.0
PSIP1,486,486.0,0.7461,668,567,397,False,271.0
ATP2B1,486,42.0,-0.3373,668,1931,1225,False,-557.0
ZNF662,484,,,671,,,True,
COX19,483,483.0,0.4504,672,569,577,False,95.0
COX4I1,483,483.0,0.6471,672,569,451,False,221.0
RO60,483,483.0,0.7819,672,569,369,False,303.0
CYC1,481,481.0,0.6244,675,572,464,False,211.0
PCNX4,479,479.0,-0.8541,676,573,1786,False,-1110.0
COX5A,478,,,677,,,True,
ZNF142,478,478.0,0.0578,677,574,863,False,-186.0
RHOF,475,475.0,1.0064,679,575,255,False,424.0
PPHLN1,474,474.0,0.7787,680,576,370,False,310.0
GPS2,474,474.0,0.6998,680,576,416,False,264.0
ZNF703,473,,,682,,,True,
MRPS6,473,,,682,,,True,
ZSWIM4,471,471.0,-0.2125,684,578,1103,False,-419.0
DCLRE1A,471,471.0,-0.7854,684,578,1703,False,-1019.0
TFAP4,471,471.0,0.6631,684,578,442,False,242.0
EHMT1,468,468.0,0.7769,687,582,371,False,316.0
MEAF6,468,468.0,0.8247,687,582,337,False,350.0
TMEM167A,468,468.0,0.301,687,582,680,False,7.0
KGD4,468,,,687,,,True,
FHL1,465,,,691,,,True,
ZCCHC4,465,465.0,-1.3913,691,585,2597,False,-1906.0
EMC2,465,465.0,0.4287,691,585,593,False,98.0
ADSS2,465,465.0,0.4917,691,585,549,False,142.0
DNAJC24,463,463.0,0.9584,695,588,279,False,416.0
TSTD2,461,461.0,0.905,696,589,301,False,395.0
KMT2C,461,461.0,1.0414,696,589,242,False,454.0
COPRS,460,460.0,0.5559,698,591,500,False,198.0
MICOS10,460,460.0,-0.0649,698,591,975,False,-277.0
VPS29,459,459.0,0.8154,700,593,346,False,354.0
ADPRM,459,459.0,-0.9999,700,593,1977,False,-1277.0
APPL2,459,459.0,-0.9073,700,593,1853,False,-1153.0
PHGR1,458,,,703,,,True,
PIGF,457,457.0,-0.8233,704,596,1751,False,-1047.0
GAS2L1,456,456.0,0.1346,705,597,805,False,-100.0
SUPT4H1,455,37.0,-0.2867,706,2025,1169,False,-463.0
CTU1,454,296.0,0.2244,707,818,735,False,-28.0
BLZF1,453,453.0,-0.2137,708,598,1106,False,-398.0
TCEAL3,453,453.0,0.3456,708,598,646,False,62.0
DRAP1,452,452.0,0.3849,710,600,618,False,92.0
RNF19B,451,451.0,-0.0129,711,601,917,False,-206.0
RBM12,449,449.0,0.4661,712,602,567,False,145.0
WRAP53,448,448.0,0.5021,713,603,541,False,172.0
ADAM19,448,448.0,0.9612,713,603,278,False,435.0
XRN1,447,447.0,0.4239,715,605,598,False,117.0
LRRC8A,447,447.0,-0.3421,715,605,1231,False,-516.0
ABHD12,446,446.0,-1.4,717,607,2605,False,-1888.0
FRS3,446,446.0,-0.5932,717,607,1496,False,-779.0
EPC1,443,443.0,0.6478,719,609,450,False,269.0
ZNF644,443,443.0,0.9995,719,609,259,False,460.0
DDA1,443,443.0,0.6497,719,609,449,False,270.0
MYCN,443,,,719,,,True,
H2AZ1,441,441.0,0.7527,723,612,388,False,335.0
DGKH,441,,,723,,,True,
CKAP4,440,440.0,-0.6127,725,613,1514,False,-789.0
TMEM126B,440,440.0,0.0626,725,613,855,False,-130.0
ING5,439,439.0,0.5531,727,615,502,False,225.0
TFDP1,439,439.0,0.7363,727,615,405,False,322.0
MTERF3,439,439.0,-0.0738,727,615,985,False,-258.0
MRPL43,437,,,730,,,True,
INPP5K,437,437.0,0.6578,730,618,444,False,286.0
RIPK1,437,437.0,0.6201,730,618,467,False,263.0
URM1,437,437.0,0.65,730,618,448,False,282.0
FAM161A,436,436.0,-0.0392,734,621,940,False,-206.0
DOT1L,435,435.0,0.6385,735,622,457,False,278.0
ST7L,435,11.0,-0.8985,735,2889,1842,False,-1107.0
TFG,433,433.0,-0.0031,737,623,912,False,-175.0
TPD52,433,433.0,0.4999,737,623,543,False,194.0
PIBF1,432,71.0,-0.4944,739,1622,1377,False,-638.0
SS18L2,431,431.0,-0.7692,740,626,1680,False,-940.0
G3BP1,429,,,741,,,True,
EIF3J,429,429.0,0.8479,741,627,327,False,414.0
MAU2,427,427.0,0.5297,743,628,525,False,218.0
RFT1,427,427.0,0.1751,743,628,769,False,-26.0
AMD1,427,427.0,0.2219,743,628,738,False,5.0
INO80B,427,427.0,0.6965,743,628,418,False,325.0
KCTD21,426,426.0,-0.263,747,632,1145,False,-398.0
PSMF1,426,426.0,0.8111,747,632,352,False,395.0
USP27X,426,,,747,,,True,
TBL1XR1,426,426.0,0.5818,747,632,484,False,263.0
ATP5F1E,425,425.0,-0.5328,751,635,1418,False,-667.0
NFIX,424,38.0,-0.2772,752,2005,1158,False,-406.0
EXOC7,424,424.0,0.6652,752,636,441,False,311.0
PHOSPHO2,424,424.0,-0.5958,752,636,1498,False,-746.0
FBXL3,423,423.0,0.5364,755,638,515,False,240.0
CDK12,423,,,755,,,True,
GSS,423,423.0,0.5441,755,638,509,False,246.0
FARS2,423,423.0,-1.0533,755,638,2050,False,-1295.0
DAD1,423,,,755,,,True,
ZRSR2,423,423.0,0.4252,755,638,597,False,158.0
NABP1,422,422.0,-0.0768,761,642,990,False,-229.0
RXRB,421,421.0,0.8447,762,643,328,False,434.0
CASP3,421,421.0,-1.1513,762,643,2210,False,-1448.0
CCDC28B,417,417.0,-0.1444,764,645,1038,False,-274.0
IPO9,417,417.0,0.6297,764,645,460,False,304.0
HEATR3,416,416.0,0.4474,766,647,580,False,186.0
TNK1,416,,,766,,,True,
PARP3,416,,,766,,,True,
SARS2,416,416.0,0.4073,766,647,603,False,163.0
ZEB1,415,415.0,0.8233,770,649,338,False,432.0
ERCC1,415,415.0,0.8173,770,649,343,False,427.0
SLC9A5,415,,,770,,,True,
MRPS12,414,,,773,,,True,
RNFT1,413,413.0,0.1542,774,651,790,False,-16.0
PTPN2,413,413.0,0.7449,774,651,398,False,376.0
ELAC2,412,412.0,0.4693,776,653,565,False,211.0
UHRF1,411,,,777,,,True,
MRPS9,410,,,778,,,True,
EARS2,407,407.0,0.53,779,655,523,False,256.0
CARD11,407,407.0,0.7591,779,655,384,False,395.0
FLCN,407,407.0,-0.6514,779,655,1553,False,-774.0
SNAP29,406,406.0,-1.0929,782,658,2114,False,-1332.0
UBA2,406,406.0,0.7742,782,658,374,False,408.0
SP1,406,406.0,0.6829,782,658,431,False,351.0
EZH2,406,406.0,0.7882,782,658,367,False,415.0
PPAT,405,124.0,0.1462,786,1280,797,False,-11.0
NR2E1,403,,,787,,,True,
TBX21,402,402.0,0.5024,788,662,540,False,248.0
CCDC93,402,402.0,0.4461,788,662,581,False,207.0
IL21,402,120.0,0.1913,788,1304,755,False,33.0
FLAD1,402,402.0,0.5625,788,662,493,False,295.0
